,Name,Nationality,National_Position,National_Kit,Club,Club_Position,Club_Kit,Club_Joining,Contract_Expiry,Rating,Height,Weight,Preffered_Foot,Birth_Date,Age,Preffered_Position,Work_Rate,Weak_foot,Skill_Moves,Ball_Control,Dribbling,Marking,Sliding_Tackle,Standing_Tackle,Aggression,Reactions,Attacking_Position,Interceptions,Vision,Composure,Crossing,Short_Pass,Long_Pass,Acceleration,Speed,Stamina,Strength,Balance,Agility,Jumping,Heading,Shot_Power,Finishing,Long_Shots,Curve,Freekick_Accuracy,Penalties,Volleys,GK_Positioning,GK_Diving,GK_Kicking,GK_Handling,GK_Reflexes
13,Luciano Vietto,Argentina,,,Sevilla,Sub,9.0,7/1/2015,2020.0,79,173 cm,70 kg,Right,12/5/1993,23,ST,High / Low,3,4,85,86,23,32,40,66,82,83,35,73,71,66,79,59,78,75,69,57,87,79,74,69,70,82,75,83,70,69,81,8,14,8,14,12
14,Pablo Sarabia,Spain,,,Sevilla,RM,17.0,7/1/2016,2020.0,79,174 cm,70 kg,Left,5/11/1992,24,RM/CAM,High / Medium,4,4,81,85,26,28,27,32,74,75,25,81,51,81,82,72,77,78,65,58,81,82,53,61,77,71,75,80,73,61,53,6,16,15,7,14
15,Escudero,Spain,,,Sevilla,LB,18.0,7/3/2015,2019.0,79,176 cm,72 kg,Left,9/2/1989,27,LB/LM,High / Medium,2,3,76,67,75,81,76,75,74,61,81,56,59,81,75,77,74,80,82,69,78,75,79,63,81,42,63,72,69,66,47,13,9,7,15,14
16,Mariano,Brazil,,,Sevilla,RB,3.0,7/21/2015,2018.0,79,177 cm,69 kg,Right,6/23/1986,30,RB/RM,Medium / Medium,3,3,82,71,69,81,75,76,77,74,74,64,70,83,76,73,86,82,85,69,73,74,70,66,84,54,68,82,56,61,58,9,10,12,12,13
17,Nicolás Pareja,Argentina,,,Sevilla,Sub,21.0,7/6/2013,2019.0,79,181 cm,74 kg,Right,1/19/1984,33,CB,Medium / Medium,3,2,78,59,77,76,80,83,82,43,80,56,83,65,81,82,52,41,52,77,61,45,69,80,77,51,69,70,78,69,49,14,14,15,14,13
18,Matías Kranevitter,Argentina,,,Sevilla,RDM,4.0,9/9/2015,2020.0,77,179 cm,75 kg,Right,5/21/1993,23,CDM/CM,Low / Medium,3,2,73,67,72,79,83,80,71,53,82,66,74,60,74,72,64,67,81,70,76,65,74,56,61,42,44,47,44,46,33,6,12,7,13,7
19,Gabriel Mercado,Argentina,RB,2.0,Sevilla,Sub,24.0,8/9/2016,2020.0,76,180 cm,83 kg,Right,3/18/1987,30,CB/RB,Medium / Medium,3,2,70,53,73,74,75,81,71,61,78,60,73,68,67,64,77,79,81,82,52,55,76,75,63,52,55,56,54,49,25,12,12,10,16,6
20,Clément Lenglet,France,,,Sevilla,LCB,5.0,1/5/2017,2021.0,75,186 cm,81 kg,Left,6/17/1995,21,CB,Medium / High,4,2,75,41,76,72,77,70,72,22,75,32,74,36,74,69,74,69,65,74,54,51,68,70,58,23,35,25,27,43,24,12,10,9,10,7
21,Joaquín Correa,Argentina,,,Sevilla,Sub,11.0,7/10/2016,2021.0,74,188 cm,77 kg,Right,8/13/1994,22,CAM/LW,Medium / Low,3,4,77,76,29,26,37,48,68,67,31,71,60,73,76,71,72,76,63,67,60,72,42,43,74,66,71,69,63,57,67,8,11,7,10,8
22,David Soria,Spain,,,Sevilla,Sub,13.0,9/16/2014,2019.0,73,192 cm,85 kg,Right,4/4/1993,23,GK,Medium / Medium,3,1,19,16,13,13,13,24,69,12,18,45,21,15,24,33,49,34,43,76,42,45,60,24,54,19,18,23,11,23,24,78,76,58,67,71
23,Walter Montoya,Argentina,,,Sevilla,Sub,14.0,1/27/2017,2021.0,72,173 cm,72 kg,Right,7/21/1993,23,RM/RW,Medium / Medium,3,3,69,78,41,38,40,53,66,68,28,74,60,66,64,65,85,81,74,56,80,77,61,46,62,54,77,65,52,51,48,15,9,12,10,13
24,Carlos Fernández,Spain,,,Sevilla,Res,30.0,7/1/2013,2018.0,67,186 cm,72 kg,Right,5/22/1996,20,ST,Medium / Medium,3,3,66,65,18,21,36,62,63,70,20,52,53,29,52,30,59,61,61,67,49,47,55,68,68,74,57,28,23,71,52,9,12,8,13,12
25,José Amo,Spain,,,Sevilla,Res,27.0,8/23/2016,2019.0,63,181 cm,75 kg,Right,4/9/1998,18,CB,Medium / Medium,3,2,61,52,60,67,62,56,54,46,63,25,41,53,63,70,66,61,60,56,59,66,74,68,35,35,31,48,41,40,42,7,13,7,8,7
26,Eliseo Falcón,Spain,,,Sevilla,Res,28.0,8/23/2016,2017.0,62,181 cm,71 kg,Right,2/11/1997,20,CB/RB,Medium / Medium,3,2,39,44,60,72,64,61,52,30,61,34,48,33,55,38,55,57,58,62,65,44,71,61,41,22,29,30,32,46,29,13,9,10,9,13
27,Javi Díaz,Spain,,,Sevilla,Res,29.0,7/1/2016,2017.0,60,185 cm,75 kg,Right,5/15/1997,19,GK,Medium / Medium,3,1,24,25,15,14,11,23,54,16,17,44,32,13,28,27,58,55,28,44,42,63,66,12,39,15,19,20,23,25,8,58,67,56,57,59
