,Name,Nationality,National_Position,National_Kit,Club,Club_Position,Club_Kit,Club_Joining,Contract_Expiry,Rating,Height,Weight,Preffered_Foot,Birth_Date,Age,Preffered_Position,Work_Rate,Weak_foot,Skill_Moves,Ball_Control,Dribbling,Marking,Sliding_Tackle,Standing_Tackle,Aggression,Reactions,Attacking_Position,Interceptions,Vision,Composure,Crossing,Short_Pass,Long_Pass,Acceleration,Speed,Stamina,Strength,Balance,Agility,Jumping,Heading,Shot_Power,Finishing,Long_Shots,Curve,Freekick_Accuracy,Penalties,Volleys,GK_Positioning,GK_Diving,GK_Kicking,GK_Handling,GK_Reflexes
21,Zakaria Bakkali,Belgium,,,Valencia,Sub,11.0,7/6/2015,2020.0,74,164 cm,60 kg,Right,1/26/1996,21,RW/LM,Medium / Low,4,4,79,84,13,20,17,37,65,63,16,58,57,65,73,53,91,84,48,36,92,88,59,28,72,66,73,81,67,57,67,12,11,16,6,16
22,Fran Villalba,Spain,,,Valencia,Sub,30.0,6/1/2015,2020.0,70,168 cm,65 kg,Right,5/11/1998,18,CAM/CM,Medium / Medium,3,3,71,77,28,31,34,38,62,61,36,72,59,66,71,68,66,66,57,30,88,75,53,33,44,60,66,74,73,57,51,5,9,14,10,14
23,Lato,Spain,,,Valencia,Res,26.0,7/1/2015,2020.0,69,178 cm,74 kg,Left,11/21/1997,19,LB/LM,Medium / Medium,3,3,70,57,70,66,70,55,63,49,59,49,38,72,66,58,76,75,69,54,67,69,59,67,52,32,46,60,38,39,54,9,7,13,10,9
24,Ayala,Spain,,,Valencia,Res,31.0,4/7/2014,2017.0,67,179 cm,76 kg,Left,3/19/1993,24,CB/LB,Low / Medium,2,2,65,36,64,71,58,73,57,32,64,38,44,61,69,53,74,75,67,65,59,74,83,68,46,27,38,45,34,42,33,11,14,7,10,16
25,Rafa Mir,Spain,,,Valencia,Res,27.0,11/20/2015,2017.0,66,189 cm,75 kg,Right,6/18/1998,18,ST/RM,Medium / Medium,3,2,64,60,39,35,36,32,57,61,30,51,52,62,58,43,67,66,59,67,42,55,55,71,70,70,52,49,35,75,63,10,12,15,11,6
26,Sivera,Spain,,,Valencia,Res,35.0,7/1/2013,2020.0,66,184 cm,75 kg,Right,8/11/1996,20,GK,Medium / Medium,3,1,30,14,13,12,17,25,55,19,24,35,27,23,35,37,59,55,59,58,64,60,65,14,33,21,32,34,12,24,21,70,66,62,63,65
27,Salva Ruíz,Spain,,,Valencia,Res,29.0,8/1/2012,2017.0,66,179 cm,73 kg,Left,5/17/1995,21,LB/CB,Medium / Medium,3,2,63,59,70,65,70,53,58,58,70,50,55,70,70,58,68,60,61,63,62,65,72,46,41,25,23,59,44,36,25,6,15,16,13,14
28,Quim Araujo,Spain,,,Valencia,Res,33.0,1/28/2016,2017.0,65,189 cm,81 kg,Right,3/10/1988,29,CAM/CF,Medium / Medium,4,3,63,68,36,41,46,45,61,60,49,69,58,56,71,68,57,54,58,72,39,53,32,49,55,56,61,61,49,49,44,9,10,7,10,6
29,Nacho Gil,Spain,,,Valencia,Res,32.0,7/1/2015,2018.0,65,176 cm,72 kg,Right,9/9/1995,21,CAM/LW,Medium / Medium,3,3,63,72,22,27,25,47,50,61,22,68,47,64,67,58,73,68,53,45,72,72,53,30,56,52,55,63,62,48,47,14,5,7,8,14
30,Eugeni,Spain,,,Valencia,Res,39.0,7/1/2016,2019.0,64,182 cm,73 kg,Right,7/19/1994,22,CAM/CM,Medium / Medium,3,3,70,59,44,45,33,47,60,57,42,61,49,57,70,63,61,58,60,59,49,49,60,56,61,70,58,60,70,70,54,10,6,7,10,7
31,Sito,Spain,,,Valencia,Res,36.0,7/1/2015,2018.0,62,180 cm,70 kg,Left,11/18/1996,20,LM/LW,Medium / High,3,3,70,70,23,47,31,45,59,57,34,58,44,64,58,56,61,60,51,48,66,66,49,38,65,49,60,66,59,52,47,10,15,14,6,13
32,Javi Jiménez,Spain,,,Valencia,Res,40.0,7/1/2016,2017.0,61,182 cm,70 kg,Right,3/11/1997,20,CB,Medium / Medium,3,2,48,32,65,59,63,65,62,30,63,45,49,41,57,53,59,59,58,52,63,60,66,55,41,25,28,32,29,46,32,14,6,8,7,9
