date - time,team1,team2,result (team1 - team2),team1 player1,team1 player2,team1 player3,team1 player4,team1 player5,team1 player6,team1 player7,team1 player8,team1 player9,team1 player10,team1 player11,team1 missing player1,team1 missing player2,team1 missing player3,team2 player1,team2 player2,team2 player3,team2 player4,team2 player5,team2 player6,team2 player7,team2 player8,team2 player9,team2 player10,team2 player11,team2 missing player1,team2 missing player2,team2 missing player3,attendance,place,round
08.09.2017 22:00,Leganes,Getafe,1-2Finished,Eraso J.,Gabriel,Guerrero,Mantovani M. (C),Munoz E.,Omar,Perez R.,Rico D.,Pichu Cuellar (G),Szymanowski A.,Suarez D.,Garcia R.,Serantes J.,Siovas D.,Suarez D.,Arambarri M.,Bergara M.,Cala J.,Djene,Fajr F.,Guaita (G),Molina J. (C),Ndiaye A.,Shibasaki G.,Suarez D.,Gorosito N.,Montero J.,Pacheco D.,11 454,Estadio Municipal de Butarque (Leganes),LaLiga - Round 3
09.09.2017 17:15,Valencia,Atl. Madrid,0-0Finished,Gabriel Paulista,Garay E.,Gaya J.,Kondogbia G.,Montoya M.,Neto (G),Parejo D. (C),Rodrigo,Pereira A.,Soler C.,Vietto L.,Gil I.,Vezo R.,null,Vietto L.,Correa A.,Filipe Luis,Hernandez L.,Juanfran,Koke (C),Niguez S.,Oblak J. (G),Partey T.,Savic S.,Vietto L.,Barragan B.,Fernandez A.,Griezmann A.,43 859,Estadio de Mestalla (Valencia),LaLiga - Round 3
16.09.2017 19:30,Betis,Dep. La Coruna,2-1Finished,Adan A. (G),Barragan A.,Durmisi R.,Feddal Z.,Garcia J.,Guardado A.,Joaquin (C),Mandi A.,Leon S.,Narvaez J.,Schar F.,Campbell J.,Firpo J.,Tosca A.,Schar F.,Andone F.,Arribas A.,Bakkali Z.,Borges C. (C),Cartabia F.,Guilherme,Juanfran,Navarro F.,Pantilimon C. (G),Schar F.,Gil C.,Mosquera P.,Ruben,46 174,Estadio Benito Villamarín (Sevilla),LaLiga - Round 4
17.09.2017 17:15,Girona,Sevilla,0-1Finished,Aday,Bernardo,Garcia B.,Granell A. (C),Iraizoz G. (G),Juanpe,Mojica J.,Pons P.,Muniesa M.,Portu,Sarabia P.,Planas C.,Suarez J.,Timor D.,Sarabia P.,Carole L.,Carrico D. (C),Corchia S.,Ganso,Lenglet C.,Montoya W.,Muriel L.,N'Zonzi S.,Rico S. (G),Sarabia P.,Nolito,Pizarro G.,null,10 872,Estadio Municipal de Montilivi (Girona),LaLiga - Round 4
16.09.2017 14:00,Levante,Valencia,1-1Finished,Alegria A.,Bardhi E.,Campana J.,Chema,Fernandez R. (G),Jason,Lerma J.,Lopez P. (C),Lopez I.,Postigo S.,Soler C.,Lopez I.,Marti R.,Morales J. L.,Soler C.,Gaya J.,Kondogbia G.,Mina S.,Montoya M.,Murillo J.,Neto (G),Parejo D. (C),Pereira A.,Rodrigo,Soler C.,Gil I.,Vezo R.,null,23 084,Estadi Ciutat de Val?ncia (Valencia),LaLiga - Round 4
17.09.2017 13:00,Alaves,Villarreal,0-3Finished,Alexis,Ely R.,Ibai,Krkic B.,Medran A.,Munir El Haddadi,Pacheco F. (G) (C),Pina T.,Pedraza A.,Vigaray C.,Trigueros M.,Duarte R.,Galilea E.,Hernandez H.,Trigueros M.,Bakambu C.,Barbosa M. (G),Castillejo S.,Costa J. (C),Fornals P.,Gonzalez A.,Rodri,Ruiz V.,Rukavina A.,Trigueros M.,Asenjo S.,Fernandez A.,Marin A.,13 887,Estadio Mendizorrotza (Vitoria-Gasteiz),LaLiga - Round 4
16.09.2017 17:15,Getafe,Barcelona,1-2Finished,Antunes V.,Arambarri M.,Bergara M.,Cala J.,Djene,Fajr F.,Guaita (G),Ndiaye A.,Molina J. (C),Shibasaki G.,Umtiti S.,Gorosito N.,Pacheco D.,null,Umtiti S.,Busquets S.,Dembele O.,Iniesta A. (C),Messi L.,Pique G.,Rakitic I.,Roberto S.,Suarez L.,ter Stegen M. (G),Umtiti S.,Rafinha,Turan A.,null,14 922,Coliseum Alfonso Perez (Getafe),LaLiga - Round 4
17.09.2017 19:30,Las Palmas,Ath Bilbao,1-0Finished,Aquilani A.,Calleri J.,Castellano D.,Castellano J.,Chichizola L. (G),Halilovic A.,Lemos M.,Navarro X.,Michel Macedo,Viera J. (C),Williams I.,Samper S.,null,null,Williams I.,Boveda E.,Garcia R.,Iturraspe A.,Laporte A.,Nunez U.,Sabin,Saborit E.,Susaeta M. (C),Vesga M.,Williams I.,Alvarez Y.,Rico M.,Undabarrena I.,19 149,Estadio de Gran Canaria (Las Palmas),LaLiga - Round 4
15.09.2017 22:00,Eibar,Leganes,1-0Finished,Bebe,Capa A.,Cote,Dmitrovic M. (G),Enrich S.,Galvez A.,Garcia D. (C),Inui T.,Garcia K.,Jordan J.,Siovas D.,Alejo I.,Leon P.,Ramis I.,Siovas D.,Bustinza U.,Gabriel,Guerrero,Mantovani M. (C),Munoz E.,Naranjo J.,Omar,Pichu Cuellar (G),Rico D.,Siovas D.,Serantes J.,null,null,4 986,Estadio Municipal de Ipurua (Eibar),LaLiga - Round 4
17.09.2017 21:45,Real Sociedad,Real Madrid,1-3Finished,Canales S.,Elustondo A.,Illarramendi A.,Januzaj A.,Llorente D.,Odriozola A.,Prieto X. (C),Rulli G. (G),Rodrigues K.,Willian Jose,Varane R.,Jon B.,Martinez C.,Martinez I.,Varane R.,Bale G.,Carvajal D.,Casemiro,Hernandez T.,Isco,Mayoral B.,Modric L.,Navas K. (G),Ramos S. (C),Varane R.,Benzema K.,Kovacic M.,Kroos T.,24 675,Reale Arena (San Sebastian),LaLiga - Round 4
16.09.2017 21:45,Atl. Madrid,Malaga,1-0Finished,Correa A.,Filipe Luis,Gabi (C),Godin D.,Griezmann A.,Hernandez L.,Juanfran,Niguez S.,Koke,Oblak J. (G),Rosales R.,Fernandez A.,Gimenez J. M.,Vrsaljko S.,Rosales R.,Baston B.,Castro Irizábal G.,Gonzalez D.,Hernandez L.,Jimenez R. (G),Mula A.,Recio (C),Ricca F.,Rolon E.,Rosales R.,Penaranda A.,Torres M.,null,62 906,Metropolitano Stadium (Madrid),LaLiga - Round 4
18.09.2017 22:00,Espanyol,Celta Vigo,2-1Finished,Darder S.,Fuego J.,Hermoso M.,Jurado J. M.,Leo Baptistao,Lopez D.,Lopez P. (G),Moreno G.,Martin A.,Piatti P.,Wass D.,Duarte O.,Lopez A.,Lopez J.,Wass D.,Aspas I.,Cabral G.,Fontas A.,Gomez M.,Jonny,Jozabed,Lobotka S.,Mallo H. (C),Sisto P.,Wass D.,Guidetti J.,Radoja N.,Radoja N.,14 853,RCDE Stadium (Cornella de Llobregat),LaLiga - Round 4
20.09.2017 21:00,Ath Bilbao,Atl. Madrid,1-2Finished,Aduriz A.,Arrizabalaga K. (G),Balenziaga M.,Garcia R.,Iturraspe A.,Laporte A.,Lekue I.,Nunez U.,Muniain I.,San Jose M.,Savic S.,Alvarez Y.,Rico M.,Undabarrena I.,Savic S.,Filipe Luis,Gaitan N.,Gimenez J. M.,Godin D. (C),Griezmann A.,Koke,Niguez S.,Oblak J. (G),Partey T.,Savic S.,Fernandez A.,Vrsaljko S.,null,43 381,Estadio San Mam?s (Bilbao),LaLiga - Round 5
21.09.2017 23:00,Levante,Real Sociedad,3-0Finished,Alegria A.,Bardhi E.,Campana J.,Chema,Fernandez R. (G),Jason,Lopez P. (C),Postigo S.,Morales J. L.,Rober Pier,Zubeldia I.,Lerma J.,Lopez I.,Marti R.,Zubeldia I.,Elustondo A.,Gorosabel A.,Illarramendi A.,Juanmi,Llorente D.,Prieto X. (C),Rulli G. (G),Vela C.,Willian Jose,Zubeldia I.,Martinez C.,Martinez I.,Navas R.,17 415,Estadi Ciutat de Val?ncia (Valencia),LaLiga - Round 5
21.09.2017 22:00,Celta Vigo,Getafe,1-1Finished,Alvarez S. (G),Aspas I.,Fontas A.,Gomez M.,Gomez S.,Hernandez P.,Jonny,Mallo H. (C),Jozabed,Mendez B.,Suarez D.,Radoja N.,Radoja N.,null,Suarez D.,Arambarri M.,Bergara M.,Cala J.,Djene,Fajr F.,Guaita (G),Molina J. (C),Ndiaye A.,Portillo F.,Suarez D.,Gorosito N.,Pacheco D.,Shibasaki G.,14 700,Estadio de Bala?dos (Vigo),LaLiga - Round 5
20.09.2017 22:00,Dep. La Coruna,Alaves,1-0Finished,Andone F.,Arribas A.,Borges C. (C),Cartabia F.,Guilherme,Juanfran,Luisinho,Perez L.,Pantilimon C. (G),Schar F.,Vigaray C.,Adrian,Bakkali Z.,Gil C.,Vigaray C.,Duarte R.,Ely R.,Garcia M. (C),Ibai,Maripan G.,Medran A.,Munir El Haddadi,Pacheco F. (G),Torres D.,Vigaray C.,Galilea E.,Hernandez H.,Krkic B.,18 518,Estadio Municipal de Riazor (La Coru?a),LaLiga - Round 5
21.09.2017 21:00,Villarreal,Espanyol,0-0Finished,Bacca C.,Bakambu C.,Barbosa M. (G),Castillejo S.,Cheryshev D.,Costa J.,Gonzalez A.,Rodri,Mario Gaspar (C),Ruiz V.,Sanchez V. (C),Asenjo S.,Fernandez A.,Marin A.,Sanchez V. (C),Fuego J.,Hermoso M.,Jurado J. M.,Leo Baptistao,Lopez D.,Lopez P. (G),Martin A.,Moreno G.,Piatti P.,Sanchez V. (C),Duarte O.,Lopez A.,Lopez J.,17 071,Estadio de la Ceramica (Villarreal),LaLiga - Round 5
20.09.2017 23:00,Real Madrid,Betis,0-1Finished,Bale G.,Carvajal D.,Casemiro,Isco,Kroos T.,Marcelo,Modric L.,Ramos S. (C),Navas K. (G),Ronaldo C.,Tello C.,Benzema K.,Kovacic M.,null,Tello C.,Barragan A.,Camarasa V.,Durmisi R.,Feddal Z.,Garcia J.,Guerrero F.,Mandi A.,Ruiz F.,Sanabria A.,Tello C.,Campbell J.,Firpo J.,Narvaez J.,65 102,Estadio Santiago Bernab?u (Madrid),LaLiga - Round 5
20.09.2017 21:00,Leganes,Girona,0-0Finished,Beauvue C.,Brasanac D.,Eraso J.,Gabriel,Mantovani M. (C),Perez R.,Pichu Cuellar (G),Siovas D.,Rico D.,Szymanowski A.,Stuani C.,El Zhar N.,Munoz E.,Serantes J.,Stuani C.,Garcia B.,Granell A. (C),Iraizoz G. (G),Juanpe,Kayode O.,Maffeo P.,Mojica J.,Muniesa M.,Pons P.,Stuani C.,Planas C.,Suarez J.,Timor D.,9 781,Estadio Municipal de Butarque (Leganes),LaLiga - Round 5
20.09.2017 23:00,Sevilla,Las Palmas,1-0Finished,Ben Yedder W.,Correa J.,Escudero S.,Gabriel Mercado,Ganso,Kjaer S.,Krohn-Dehli M.,N'Zonzi S.,Navas J.,Pareja N. (C),Vitolo,Nolito,Pizarro G.,null,Vitolo,Aythami,Calleri J.,Chichizola L. (G),Garcia D. (C),Hernan,Michel Macedo,Navarro X.,Tana,Viera J.,Vitolo,Castellano D.,Halilovic A.,Samper S.,35 317,Estadio Ram?n S?nchez Pizju?n (Sevilla),LaLiga - Round 5
19.09.2017 23:00,Barcelona,Eibar,6-1Finished,Busquets S.,Deulofeu G.,Digne L.,Iniesta A. (C),Mascherano J.,Messi L.,Paulinho,Semedo N.,Pique G.,Suarez D.,Oliveira P.,Dembele O.,Rafinha,null,Oliveira P.,Capa A.,Dmitrovic M. (G),Enrich S.,Escalante G.,Galvez A.,Garcia D. (C),Inui T.,Jordan J.,Junca D.,Oliveira P.,Alejo I.,Leon P.,Ramis I.,51 645,Camp Nou (Barcelona),LaLiga - Round 5
