player,team
Krohn-Dehli,Sevilla
Pareja,Sevilla
Pizarro,Sevilla
Capa,Eibar
Williams,Eibar
Williams,Ath Bilbao
Boveda,Ath Bilbao
Cordoba,Ath Bilbao
Saborit,Ath Bilbao
Vesga,Ath Bilbao
Hernan,Espanyol
Zaldua,Espanyol
Zaldua,Leganes
Bigas,Las Palmas
Gonzalez,Las Palmas
Herna,Las Palmas
Momo,Las Palmas
Vrsaljko,Las Palmas
Vrsaljko,Atl. Madrid
Correa,Atl. Madrid
Godin,Atl. Madrid
Partey,Atl. Madrid
Vietto,Atl. Madrid
Rosales,Girona
Rosales,Malaga
Mula,Malaga
Sidne,Levante
Sidne,Dep. La Coruna
Colak,Dep. La Coruna
Alexi,Alaves
Pina,Alaves
Romero,Alaves
Vidal,Alaves
Vidal,Barcelona
Iniesta,Barcelona
Pique,Barcelona
Umtiti,Barcelona
Adan,Betis
Durmisi,Betis
Garcia,Betis
Joaqui,Betis
Guerrero,Betis
Wass,Betis
Wass,Celta Vigo
Roncaglia,Celta Vigo
Juanm,Real Sociedad
Trigueros,Real Sociedad
Bakambu,Villarreal
Castillejo,Villarreal
N'Diaye,Villarreal
Semedo,Villarreal
Kek,Malaga
Ricca,Malaga
Viera,Malaga
Aythami,Las Palmas
Michel,Las Palmas
Tannane,Las Palmas
Bacca,Villarreal
Barbosa,Villarreal
Tello,Villarreal
Tello,Betis
Amat,Betis
Lobotka,Celta Vigo
Vigaray,Celta Vigo
Enz,Alaves
Krkic,Alaves
Torres,Alaves
Aduriz,Ath Bilbao
Herrerin,Ath Bilbao
Lekue,Ath Bilbao
Stuani,Ath Bilbao
Stuani,Girona
Adria,Dep. La Coruna
Gama,Dep. La Coruna
Zurutuza,Dep. La Coruna
Januzaj,Real Sociedad
Martinez,Real Sociedad
Suarez,Barcelona
Sanchez,Barcelona
Sanchez,Espanyol
Diop,Espanyol
Hermoso,Espanyol
Ben,Sevilla
Carrico,Sevilla
Ramis,Sevilla
Enrich,Eibar
Escalante,Eibar
Gabriel,Valencia
Pereira,Valencia
Vietto,Valencia
Filipe,Atl. Madrid
Koke,Atl. Madrid
Casilla,Real Madrid
Hernandez,Real Madrid
Luca,Real Madrid
Llorente,Real Madrid
Ton,Real Madrid
Ton,Levante
Rober,Levante
Suarez,Leganes
Darder,Espanyol
Wass,Espanyol
Canales,Real Sociedad
Llorente,Real Sociedad
Varane,Real Sociedad
Varane,Real Madrid
Mayoral,Real Madrid
Aquilani,Las Palmas
Williams,Las Palmas
Iturraspe,Ath Bilbao
Sabi,Ath Bilbao
Juanp,Girona
Mojica,Girona
Sarabia,Girona
Carole,Sevilla
Montoya,Sevilla
Medran,Alaves
Munir,Alaves
Trigueros,Alaves
Rosales,Atl. Madrid
Castro,Malaga
Rolon,Malaga
Schar,Betis
Arribas,Dep. La Coruna
Navarro,Dep. La Coruna
Pantilimon,Dep. La Coruna
Umtiti,Getafe
Dembele,Barcelona
Soler,Levante
Mina,Valencia
Beb,Eibar
Galvez,Eibar
Siovas,Eibar
Siovas,Leganes
Bustinza,Leganes
Naranjo,Leganes
Zubeldia,Levante
Zubeldia,Real Sociedad
Gorosabel,Real Sociedad
Vela,Real Sociedad
Hernandez,Celta Vigo
Mendez,Celta Vigo
Suarez,Celta Vigo
Portillo,Getafe
Cheryshev,Villarreal
Mario,Villarreal
Sanchez,Villarreal
Ronaldo,Real Madrid
Tello,Real Madrid
Ruiz,Betis
Sanabria,Betis
Correa,Sevilla
Vitol,Sevilla
Aytham,Las Palmas
Garcia,Las Palmas
Perez,Dep. La Coruna
Vigaray,Dep. La Coruna
Duarte,Alaves
Maripan,Alaves
Savic,Ath Bilbao
Gaitan,Atl. Madrid
Beauvue,Leganes
Brasanac,Leganes
Stuani,Leganes
Kayode,Girona
Digne,Barcelona
Paulinh,Barcelona
Oliveira,Barcelona
Junca,Eibar
Guedes,Valencia
Rolon,Valencia
Jon,Malaga
Rolan,Malaga
Ton,Betis
Zaza,Real Sociedad
Herrera,Las Palmas
Zaldua,Las Palmas
Dos,Leganes
Garcia,Leganes
Wass,Eibar
Blanco,Celta Vigo
Rodriguez,Getafe
Unal,Getafe
Valverde,Espanyol
Valverde,Dep. La Coruna
Aday,Girona
