web-scraper-order,web-scraper-start-url,date - time,team1,team2,result (team1 - team2),lineups,lineups-href,team1 player1,attendance,place,round,team1 player2,team1 player3,team1 player4,team1 player5,team1 player6,team1 player7,team1 player8,team1 player9,team1 player10,team1 player11,team1 missing player1,team1 missing player2,team1 missing player3,team2 player1,team2 player2,team2 player3,team2 player4,team2 player5,team2 player6,team2 player7,team2 player8,team2 player9,team2 player10,team2 player11,team2 missing player1,team2 missing player2,team2 missing player3
"1676817285-1600","https://www.flashscore.com/match/8ruD2zYe/#/match-summary","12.01.2014 18:00","Betis","Osasuna","1-2Finished","Lineups","https://www.flashscore.com/match/8ruD2zYe/#/match-summary/lineups","Amaya A.","null","Estadio Benito Villamarín (Sevilla)","LaLiga - Round 19","Andersen S. (G)","Castro R.","Juanfran","Leo Baptistao","Nacho (C)","Nono","Paulao","Reyes L.","Sevilla S.","Vadillo A.","null","null","null","Arribas A.","Bertran M.","Cejudo A.","Damia (C)","de las Cuevas M.","Fernandez A. (G)","Lolo","Loties J.","Riera O.","Silva F.","Torres R.","null","null","null"
"1676817294-1601","https://www.flashscore.com/match/MoqH1fm2/#/match-summary","12.01.2014 20:00","Espanyol","Real Madrid","0-1Finished","Lineups","https://www.flashscore.com/match/MoqH1fm2/#/match-summary/lineups","Casilla K. (G)","null","RCDE Stadium (Cornella de Llobregat)","LaLiga - Round 19","Colotto D.","Cordoba J.","Fernandez A.","Fuentes J. R.","Lopez J. (C)","Moreno H.","Rodriguez R.","Sanchez V.","Stuani C.","Torje G.","null","null","null","Alonso X.","Bale G.","Benzema K.","Carvajal D.","Di Maria A.","Lopez D. (G)","Marcelo","Modric L.","Pepe","Ramos S. (C)","Ronaldo C.","null","null","null"
"1676817302-1602","https://www.flashscore.com/match/SO7LCKe3/#/match-summary","12.01.2014 22:00","Levante","Malaga","1-0Finished","Lineups","https://www.flashscore.com/match/SO7LCKe3/#/match-summary/lineups","Barral D.","null","Estadi Ciutat de València (Valencia)","LaLiga - Round 19","da Silva Pinto S.","Garcia R.","Ivanschitz A.","Juanfran (C)","Karabelas N.","Lopez P.","Navas K. (G)","Simao","Vyntra L.","Xumetra J.","null","null","null","Caballero W. (G)","Camacho I.","Duda (C)","Eliseu","Gamez J.","Portillo F.","Samuel","Sanchez S.","Santa C. R.","Tissone F.","Weligton","null","null","null"
"1676817311-1603","https://www.flashscore.com/match/fyax9xeS/#/match-summary","13.01.2014 23:00","Villarreal","Real Sociedad","5-1Finished","Lineups","https://www.flashscore.com/match/fyax9xeS/#/match-summary/lineups","Aquino J.","null","Estadio de la Ceramica (Villarreal)","LaLiga - Round 19","Asenjo S. (G)","Bruno","Costa J.","Dorado J. A.","dos Santos G.","Gomez M.","Mario Gaspar","Musacchio M.","Trigueros M. (C)","Uche I.","null","null","null","Agirretxe I.","Ansotegi I.","Bergara M.","Bravo C. (G)","Cote","Griezmann A.","Martinez C.","Martinez I.","Pardo R.","Prieto X. (C)","Vela C.","null","null","null"
"1676817319-1604","https://www.flashscore.com/match/ARqyQUVJ/#/match-summary","17.01.2014 22:00","Malaga","Valencia","0-0Finished","Lineups","https://www.flashscore.com/match/ARqyQUVJ/#/match-summary/lineups","Antunes V.","null","Estadio La Rosaleda (Málaga)","LaLiga - Round 20","Caballero W. (G)","Camacho I.","Duda","Eliseu","Ferreira F.","Gamez J.","Samuel","Sanchez S.","Santa C. R.","Tissone F.","null","null","null","Alcacer P.","Banega E.","Costa R.","Diego Alves (G)","Guardado A.","Jonas","Mathieu J.","Parejo D.","Pereira J.","Piatti P.","Romeu O.","null","null","null"
"1676817327-1605","https://www.flashscore.com/match/fim0OHfF/#/match-summary","18.01.2014 17:00","Betis","Real Madrid","0-5Finished","Lineups","https://www.flashscore.com/match/fim0OHfF/#/match-summary/lineups","Amaya A.","null","Estadio Benito Villamarín (Sevilla)","LaLiga - Round 20","Andersen S. (G)","Castro R.","Chica F.","Leo Baptistao","Matilla J.","Molina J. (C)","Paulao","Reyes L.","Sevilla S.","Vila D.","null","null","null","Alonso X.","Bale G.","Benzema K.","Carvajal D.","Di Maria A.","Lopez D. (G)","Marcelo","Modric L.","Pepe","Ramos S. (C)","Ronaldo C.","null","null","null"
"1676817336-1606","https://www.flashscore.com/match/0d2p37O6/#/match-summary","18.01.2014 19:00","Elche","Rayo Vallecano","2-0Finished","Lineups","https://www.flashscore.com/match/0d2p37O6/#/match-summary/lineups","Albacar E. (C)","null","Estadio Manuel Martínez Valero (Elche)","LaLiga - Round 20","Botia A.","Coro","Gil C.","Herrera C.","Lomban D.","Marquez J.","Niguez A.","Perez R.","Suarez D.","Tono (G)","null","null","null","Baena R.","Bangoura A.","Bueno","Castillo N.","Galvez A.","Nacho","Niguez S.","Ruben (G)","Tito","Trashorras R. (C)","Viera J.","null","null","null"
"1676817344-1607","https://www.flashscore.com/match/WGAT6kPs/#/match-summary","18.01.2014 21:00","Granada CF","Osasuna","0-0Finished","Lineups","https://www.flashscore.com/match/WGAT6kPs/#/match-summary/lineups","Angulo B.","null","Estadio Nuevo Los Cármenes (Granada)","LaLiga - Round 20","Brahimi Y.","El Arabi Y.","Fernandez R. (G)","Iturra M.","Mainz D. (C)","Murillo J.","Nyom A.","Piti","Recio","Rico F.","null","null","null","Armenteros E.","Arribas A.","Bertran M.","Cejudo A.","Damia","de las Cuevas M.","Lolo (C)","Loties J.","Riera O.","Riesgo A. (G)","Silva F.","null","null","null"
"1676817353-1608","https://www.flashscore.com/match/EuW2Pcu9/#/match-summary","18.01.2014 23:00","Espanyol","Celta Vigo","1-0Finished","Lineups","https://www.flashscore.com/match/EuW2Pcu9/#/match-summary/lineups","Abraham","null","RCDE Stadium (Cornella de Llobregat)","LaLiga - Round 20","Casilla K. (G)","Colotto D.","Cordoba J.","Fuentes J. R.","Garcia S.","Lopez J.","Moreno H.","Sanchez V.","Simao","Stuani C.","null","null","null","Cabral G.","Fernandez A.","Fontas A.","Jonny","Krohn-Dehli M.","Mallo H.","Mina S.","Orellana F.","Oubina B.","Rafinha","Yoel (G)","null","null","null"
"1676817361-1609","https://www.flashscore.com/match/M53t4m90/#/match-summary","19.01.2014 13:00","Getafe","Real Sociedad","2-2Finished","Lineups","https://www.flashscore.com/match/M53t4m90/#/match-summary/lineups","Arroyo A.","null","Coliseum Alfonso Perez (Getafe)","LaLiga - Round 20","Borja","Castro D.","Escudero S.","Leon P.","Lopez L.","Marica C.","Michel","Moya M. A. (G)","Rafa (C)","Sarabia P.","null","null","null","Agirretxe I.","Ansotegi I. (C)","Bergara M.","Bravo C. (G)","Cote","Gonzalez M.","Griezmann A.","Martinez C.","Pardo R.","Vela C.","Zurutuza D.","null","null","null"
"1676817370-1610","https://www.flashscore.com/match/vsEy5Tgf/#/match-summary","19.01.2014 18:00","Villarreal","Almeria","2-0Finished","Lineups","https://www.flashscore.com/match/vsEy5Tgf/#/match-summary/lineups","Aquino J.","null","Estadio de la Ceramica (Villarreal)","LaLiga - Round 20","Asenjo S. (G)","Bruno (C)","Costa J.","Dorado J. A.","dos Santos G.","Gomez M.","Mario Gaspar","Musacchio M.","Trigueros M.","Uche I.","null","null","null","Azeez R.","Barbosa H.","Dubarbier S.","Esteban (G) (C)","Rafita","Tebar M.","Torsiglieri M.","Trujillo A.","Verza","Vidal A.","Zongo J.","null","null","null"
"1676817378-1611","https://www.flashscore.com/match/8M5h1ogJ/#/match-summary","19.01.2014 20:00","Levante","Barcelona","1-1Finished","Lineups","https://www.flashscore.com/match/8M5h1ogJ/#/match-summary/lineups","Diop P.","null","Estadi Ciutat de València (Valencia)","LaLiga - Round 20","El Zhar N.","Garcia R.","Ivanschitz A.","Juanfran (C)","Karabelas N.","Lopez P.","Navarro D.","Navas K. (G)","Simao","Vyntra L.","null","null","null","Alba J.","Busquets S.","Fabregas C.","Mascherano J.","Messi L.","Montoya M.","Pedro","Pique G.","Sanchez A.","Valdes V. (G)","Xavi (C)","null","null","null"
"1676817386-1612","https://www.flashscore.com/match/UV6l2RwD/#/match-summary","19.01.2014 22:00","Atl. Madrid","Sevilla","1-1Finished","Lineups","https://www.flashscore.com/match/UV6l2RwD/#/match-summary/lineups","Costa D.","null","Estadio Vicente Calderón (Madrid)","LaLiga - Round 20","Courtois T. (G)","Filipe Luis","Gabi (C)","Garcia R.","Godin D.","Juanfran","Koke","Miranda","Turan A.","Villa D.","null","null","null","Bacca C.","Beto (G)","Carrico D.","Coke","Fazio F.","Iborra V.","Moreno A.","Navarro F.","Pareja N.","Rakitic I. (C)","Vitolo","null","null","null"
"1676817395-1613","https://www.flashscore.com/match/QwAX59vl/#/match-summary","20.01.2014 23:00","Ath Bilbao","Valladolid","4-2Finished","Lineups","https://www.flashscore.com/match/QwAX59vl/#/match-summary/lineups","Aduriz A.","null","Estadio San Mamés (Bilbao)","LaLiga - Round 20","Balenziaga M.","Benat","Gurpegi C. (C)","Herrera A.","Ibai","Iraizoz G. (G)","Iraola A.","Iturraspe A.","Laporte A.","Susaeta M.","null","null","null","Bergdich Z.","Ebert P.","Gonzalez O.","Guerra J.","Marino D. (G)","Pena C.","Perez V.","Rossi F.","Rubio A. (C)","Rukavina A.","Valiente M.","null","null","null"
"1676817403-1614","https://www.flashscore.com/match/Qik6K8gs/#/match-summary","24.01.2014 22:00","Celta Vigo","Betis","4-2Finished","Lineups","https://www.flashscore.com/match/Qik6K8gs/#/match-summary/lineups","Charles","null","Estadio de Balaídos (Vigo)","LaLiga - Round 21","Costas D.","Fontas A.","Jonny","Krohn-Dehli M.","Lopez A.","Mallo H.","Orellana F.","Oubina B. (C)","Rafinha","Yoel (G)","null","null","null","Amaya A.","Castro R.","Juanfran","Leo Baptistao","Nacho (C)","Nono","Paulao","Reyes L.","Sara G. (G)","Sevilla S.","Verdu J.","null","null","null"
"1676817412-1615","https://www.flashscore.com/match/4rlAJS8m/#/match-summary","25.01.2014 17:00","Real Madrid","Granada CF","2-0Finished","Lineups","https://www.flashscore.com/match/4rlAJS8m/#/match-summary/lineups","Alonso X.","null","Estadio Santiago Bernabéu (Madrid)","LaLiga - Round 21","Bale G.","Benzema K.","Carvajal D.","Di Maria A.","Lopez D. (G)","Marcelo","Modric L.","Pepe","Ramos S. (C)","Ronaldo C.","null","null","null","Angulo B.","Brahimi Y.","El Arabi Y.","Fatau M.","Fernandez R. (G)","Iturra M.","Mainz D. (C)","Murillo J.","Nyom A.","Piti","Recio","null","null","null"
"1676817420-1616","https://www.flashscore.com/match/0AsJH6w0/#/match-summary","25.01.2014 19:00","Valladolid","Villarreal","1-0Finished","Lineups","https://www.flashscore.com/match/0AsJH6w0/#/match-summary/lineups","Gonzalez O.","null","Estadio José Zorrilla (Valladolid)","LaLiga - Round 21","Guerra J.","Larsson D.","Marino D. (G)","Mitrovic S.","Pena C.","Rama V.","Rossi F.","Rubio A. (C)","Rueda J.","Rukavina A.","null","null","null","Aquino J.","Asenjo S. (G)","Bruno (C)","Costa J.","Dorado J. A.","dos Santos G.","Gomez M.","Mario Gaspar","Musacchio M.","Pina T.","Uche I.","null","null","null"
"1676817429-1617","https://www.flashscore.com/match/8C2vPloQ/#/match-summary","25.01.2014 21:00","Valencia","Espanyol","2-2Finished","Lineups","https://www.flashscore.com/match/8C2vPloQ/#/match-summary/lineups","Alcacer P.","null","Estadio de Mestalla (Valencia)","LaLiga - Round 21","Banega E.","Costa R. (C)","Diego Alves (G)","Guardado A.","Jonas","Mathieu J.","Parejo D.","Pereira J.","Piatti P.","Romeu O.","null","null","null","Abraham","Casilla K. (G)","Colotto D.","Cordoba J.","Fuentes J. R.","Garcia S. (C)","Lopez J.","Moreno H.","Sanchez V.","Simao","Stuani C.","null","null","null"
"1676817437-1618","https://www.flashscore.com/match/UkZZDOxP/#/match-summary","25.01.2014 23:00","Sevilla","Levante","2-3Finished","Lineups","https://www.flashscore.com/match/UkZZDOxP/#/match-summary/lineups","Bacca C.","null","Estadio Ramón Sánchez Pizjuán (Sevilla)","LaLiga - Round 21","Beto (G)","Carrico D.","Coke","Fazio F.","Gameiro K.","Navarro F.","Pareja N.","Rakitic I. (C)","Reyes J. A.","Vitolo","null","null","null","Barral D.","Diop P.","Garcia R.","Ivanschitz A.","Juanfran (C)","Karabelas N.","Lopez P.","Navarro D.","Navas K. (G)","Simao","Vyntra L.","null","null","null"
"1676817445-1619","https://www.flashscore.com/match/fXtNGQh6/#/match-summary","26.01.2014 13:00","Almeria","Getafe","1-0Finished","Lineups","https://www.flashscore.com/match/fXtNGQh6/#/match-summary/lineups","Azeez R.","null","Estadio de los Juegos Mediterráneos (Almería)","LaLiga - Round 21","Dubarbier S.","Esteban (G)","Rafita","Soriano F.","Suso","Tebar M.","Torsiglieri M.","Trujillo A.","Vidal A. (C)","Zongo J.","null","null","null","Arroyo A.","Castro D.","Escudero S.","Leon P.","Lopez L.","Marica C.","Michel","Mosquera P.","Moya M. A. (G)","Rafa (C)","Sarabia P.","null","null","null"
"1676817454-1620","https://www.flashscore.com/match/MJrFInOg/#/match-summary","26.01.2014 18:00","Osasuna","Ath Bilbao","1-5Finished","Lineups","https://www.flashscore.com/match/MJrFInOg/#/match-summary/lineups","Armenteros E.","null","Estadio El Sadar (Pamplona)","LaLiga - Round 21","Arribas A.","Bertran M.","Cejudo A.","Damia (C)","de las Cuevas M.","Fernandez A. (G)","Lolo","Loties J.","Riera O.","Silva F.","null","null","null","Aduriz A.","Balenziaga M.","de Marcos O.","Gurpegi C. (C)","Herrera A.","Iraizoz G. (G)","Iturraspe A.","Muniain I.","Rico M.","San Jose M.","Susaeta M.","null","null","null"
"1676817462-1621","https://www.flashscore.com/match/jazWE4NI/#/match-summary","26.01.2014 20:00","Rayo Vallecano","Atl. Madrid","2-4Finished","Lineups","https://www.flashscore.com/match/jazWE4NI/#/match-summary/lineups","Arbilla A.","null","Campo de Futbol de Vallecas (Madrid)","LaLiga - Round 21","Baena R.","Bangoura A.","Bueno","Larrivey J.","Nacho","Niguez S.","Ruben (G)","Tito","Trashorras R. (C)","Viera J.","null","null","null","Costa D.","Courtois T. (G)","Filipe Luis","Gabi (C)","Godin D.","Koke","Manquillo J.","Miranda","Sosa J.","Turan A.","Villa D.","null","null","null"
"1676817470-1622","https://www.flashscore.com/match/ddNHx8FP/#/match-summary","26.01.2014 22:00","Barcelona","Malaga","3-0Finished","Lineups","https://www.flashscore.com/match/ddNHx8FP/#/match-summary/lineups","Alba J.","null","Camp Nou (Barcelona)","LaLiga - Round 21","Busquets S.","Dani Alves","Fabregas C.","Mascherano J.","Messi L.","Pedro","Pique G.","Sanchez A.","Valdes V. (G)","Xavi (C)","null","null","null","Angeleri M.","Antunes V.","Caballero W. (G)","Camacho I.","Duda (C)","Ferreira F.","Juanmi","Perez P.","Sanchez S.","Santa C. R.","Tissone F.","null","null","null"
"1676817479-1623","https://www.flashscore.com/match/8zoRFp8C/#/match-summary","27.01.2014 23:00","Real Sociedad","Elche","4-0Finished","Lineups","https://www.flashscore.com/match/8zoRFp8C/#/match-summary/lineups","Agirretxe I.","null","Reale Arena (San Sebastian)","LaLiga - Round 21","Ansotegi I.","Bergara M.","Bravo C. (G)","Cote","Griezmann A.","Martinez C.","Martinez I.","Pardo R.","Prieto X.","Vela C.","null","null","null","Albacar E.","Botia A.","Coro","del Moral M.","Gil C.","Lomban D.","Niguez A.","Perez R.","Sanchez C.","Suarez D.","Tono (G)","null","null","null"
"1676817487-1624","https://www.flashscore.com/match/tUblXowm/#/match-summary","31.01.2014 22:00","Granada CF","Celta Vigo","1-2Finished","Lineups","https://www.flashscore.com/match/tUblXowm/#/match-summary/lineups","Angulo B.","null","Estadio Nuevo Los Cármenes (Granada)","LaLiga - Round 22","Brahimi Y.","El Arabi Y.","Fernandez R. (G)","Iturra M.","Mainz D. (C)","Murillo J.","Nyom A.","Piti","Recio","Rico F.","null","null","null","Cabral G.","Charles","Fernandez A.","Fontas A.","Jonny","Mallo H.","Nolito","Orellana F.","Oubina B. (C)","Rafinha","Yoel (G)","null","null","null"
"1676817496-1625","https://www.flashscore.com/match/d0BLVgJu/#/match-summary","01.02.2014 17:00","Barcelona","Valencia","2-3Finished","Lineups","https://www.flashscore.com/match/d0BLVgJu/#/match-summary/lineups","Alba J.","null","Camp Nou (Barcelona)","LaLiga - Round 22","Busquets S.","Dani Alves","Fabregas C.","Mascherano J.","Messi L.","Pedro","Pique G.","Sanchez A.","Valdes V. (G)","Xavi (C)","null","null","null","Alcacer P.","Barragan A.","Bernat J.","Costa R. (C)","Diego Alves (G)","Feghouli S.","Fuego J.","Mathieu J.","Parejo D.","Piatti P.","Romeu O.","null","null","null"
"1676817504-1626","https://www.flashscore.com/match/IZgDRs7O/#/match-summary","01.02.2014 19:00","Levante","Rayo Vallecano","0-0Finished","Lineups","https://www.flashscore.com/match/IZgDRs7O/#/match-summary/lineups","Barral D.","null","Estadi Ciutat de València (Valencia)","LaLiga - Round 22","Diop P.","El Zhar N.","Ivanschitz A.","Juanfran (C)","Lopez P.","Navarro D.","Navas K. (G)","Simao","Vyntra L.","Xumetra J.","null","null","null","Arbilla A.","Baena R.","Falque I.","Larrivey J.","Niguez S.","Rochina R.","Ruben (G)","Tito","Trashorras R. (C)","Viera J.","Ze Castro","null","null","null"
"1676817513-1627","https://www.flashscore.com/match/Sp10UqN5/#/match-summary","01.02.2014 21:00","Getafe","Valladolid","0-0Finished","Lineups","https://www.flashscore.com/match/Sp10UqN5/#/match-summary/lineups","Arroyo A.","null","Coliseum Alfonso Perez (Getafe)","LaLiga - Round 22","Borja","Castro D.","Lafita A.","Lago R.","Leon P.","Lopez L.","Marica C.","Michel","Moya M. A. (G)","Rafa (C)","null","null","null","Guerra J.","Larsson D.","Marino D. (G)","Mitrovic S.","Omar","Pena C.","Perez V.","Rossi F.","Rubio A. (C)","Rueda J.","Rukavina A.","null","null","null"
"1676817522-1628","https://www.flashscore.com/match/U9cHQ1MU/#/match-summary","01.02.2014 23:00","Malaga","Sevilla","3-2Finished","Lineups","https://www.flashscore.com/match/U9cHQ1MU/#/match-summary/lineups","Amrabat N.","null","Estadio La Rosaleda (Málaga)","LaLiga - Round 22","Antunes V.","Caballero W. (G)","Camacho I.","Duda (C)","Eliseu","Ferreira F.","Gamez J.","Juanmi","Sanchez S.","Tissone F.","null","null","null","Bacca C.","Beto (G)","Coke","Fazio F.","Iborra V.","Moreno A.","Navarro F.","Pareja N.","Rakitic I. (C)","Reyes J. A.","Vitolo","null","null","null"
"1676817530-1629","https://www.flashscore.com/match/pMe5T3xC/#/match-summary","02.02.2014 13:00","Elche","Almeria","1-0Finished","Lineups","https://www.flashscore.com/match/pMe5T3xC/#/match-summary/lineups","Albacar E. (C)","null","Estadio Manuel Martínez Valero (Elche)","LaLiga - Round 22","Botia A.","Coro","del Moral M.","Gil C.","Herrera C.","Lomban D.","Marquez J.","Perez R.","Suarez D.","Tono (G)","null","null","null","Azeez R.","Esteban (G) (C)","Mane","Rafita","Suso","Tebar M.","Torsiglieri M.","Trujillo A.","Verza","Vidal A.","Zongo J.","null","null","null"
"1676817539-1630","https://www.flashscore.com/match/b59qYRNt/#/match-summary","02.02.2014 18:00","Betis","Espanyol","2-0Finished","Lineups","https://www.flashscore.com/match/b59qYRNt/#/match-summary/lineups","Adan A. (G)","null","Estadio Benito Villamarín (Sevilla)","LaLiga - Round 22","Amaya A.","Castro R.","Chuli","Figueras J.","Juanfran","Juankar","N'Diaye A.","Reyes L.","Sevilla S. (C)","Verdu J.","null","null","null","Alvarez V.","Casilla K. (G)","Colotto D.","Cordoba J.","Garcia S. (C)","Lopez D.","Lopez J.","Moreno H.","Rodriguez R.","Sanchez V.","Simao","null","null","null"
"1676817548-1631","https://www.flashscore.com/match/OCf9SNiI/#/match-summary","02.02.2014 20:00","Atl. Madrid","Real Sociedad","4-0Finished","Lineups","https://www.flashscore.com/match/OCf9SNiI/#/match-summary/lineups","Costa D.","null","Estadio Vicente Calderón (Madrid)","LaLiga - Round 22","Courtois T. (G)","Gabi (C)","Godin D.","Insua E.","Juanfran","Koke","Miranda","Sosa J.","Suarez M.","Villa D.","null","null","null","Ansotegi I.","Bravo C. (G)","Cote","Gaztanaga J.","Griezmann A.","Martinez C.","Martinez I.","Pardo R.","Prieto X. (C)","Vela C.","Zurutuza D.","null","null","null"
"1676817556-1632","https://www.flashscore.com/match/fX2hW5hg/#/match-summary","02.02.2014 22:00","Ath Bilbao","Real Madrid","1-1Finished","Lineups","https://www.flashscore.com/match/fX2hW5hg/#/match-summary/lineups","Aduriz A.","null","Estadio San Mamés (Bilbao)","LaLiga - Round 22","Balenziaga M.","de Marcos O.","Gurpegi C. (C)","Herrera A.","Iraizoz G. (G)","Iturraspe A.","Laporte A.","Muniain I.","Rico M.","Susaeta M.","null","null","null","Alonso X.","Benzema K.","Carvajal D.","Di Maria A.","Jese","Lopez D. (G)","Marcelo","Modric L.","Pepe (C)","Ramos S.","Ronaldo C.","null","null","null"
"1676817565-1633","https://www.flashscore.com/match/lf2dVP7a/#/match-summary","03.02.2014 23:00","Villarreal","Osasuna","3-1Finished","Lineups","https://www.flashscore.com/match/lf2dVP7a/#/match-summary/lineups","Aquino J.","null","Estadio de la Ceramica (Villarreal)","LaLiga - Round 22","Asenjo S. (G)","Costa J.","Dorado J. A.","dos Santos G.","Gabriel Paulista","Gomez M.","Mario Gaspar (C)","Pina T.","Trigueros M.","Uche I.","null","null","null","Acuna J.","Armenteros E.","Bertran M.","Damia","de las Cuevas M.","Fernandez A. (G)","Flano M.","Lobato C. (C)","Loe R.","Loties J.","Punal F.","null","null","null"
"1676817574-1634","https://www.flashscore.com/match/4QETTXmh/#/match-summary","07.02.2014 22:00","Espanyol","Granada CF","1-0Finished","Lineups","https://www.flashscore.com/match/4QETTXmh/#/match-summary/lineups","Alvarez V.","null","RCDE Stadium (Cornella de Llobregat)","LaLiga - Round 23","Casilla K. (G)","Colotto D.","Cordoba J.","Garcia S. (C)","Lopez D.","Lopez J.","Moreno H.","Sanchez V.","Simao","Stuani C.","null","null","null","Angulo B.","Brahimi Y.","Buonanotte D.","El Arabi Y.","Fernandez R. (G)","Ilori T.","Iturra M.","Murillo J.","Nyom A. (C)","Recio","Rico F.","null","null","null"
"1676817582-1635","https://www.flashscore.com/match/ziAPUDYo/#/match-summary","08.02.2014 17:00","Valencia","Betis","5-0Finished","Lineups","https://www.flashscore.com/match/ziAPUDYo/#/match-summary/lineups","Alcacer P.","null","Estadio de Mestalla (Valencia)","LaLiga - Round 23","Barragan A.","Bernat J.","Diego Alves (G)","Eduardo Vargas","Feghouli S.","Fuego J.","Mathieu J. (C)","Parejo D.","Piatti P.","Senderos P.","null","null","null","Adan A. (G)","Amaya A.","Castro R.","Cedrick","Figueras J.","Juanfran (C)","Leo Baptistao","N'Diaye A.","Reyes L.","Verdu J.","Vila D.","null","null","null"
"1676817591-1636","https://www.flashscore.com/match/tSNCJmQp/#/match-summary","08.02.2014 19:00","Rayo Vallecano","Malaga","4-1Finished","Lineups","https://www.flashscore.com/match/tSNCJmQp/#/match-summary/lineups","Arbilla A.","null","Campo de Futbol de Vallecas (Madrid)","LaLiga - Round 23","Baena R.","Bueno","Falque I.","Larrivey J.","Nacho","Niguez S.","Rochina R.","Ruben (G)","Trashorras R. (C)","Ze Castro","null","null","null","Amrabat N.","Angeleri M.","Antunes V.","Caballero W. (G) (C)","Camacho I.","Ferreira F.","Juanmi","Morales P.","Perez P.","Samuel","Sanchez S.","null","null","null"
"1676817600-1637","https://www.flashscore.com/match/Qu3xSBI4/#/match-summary","08.02.2014 21:00","Real Madrid","Villarreal","4-2Finished","Lineups","https://www.flashscore.com/match/Qu3xSBI4/#/match-summary/lineups","Bale G.","null","Estadio Santiago Bernabéu (Madrid)","LaLiga - Round 23","Benzema K.","Carvajal D.","Di Maria A.","Illarramendi A.","Jese","Lopez D. (G)","Marcelo","Modric L.","Pepe","Ramos S. (C)","null","null","null","Aquino J.","Asenjo S. (G)","Bruno","Costa J.","Dorado J. A.","dos Santos G.","Gomez M.","Mario Gaspar","Musacchio M.","Pereira J.","Ramos E. (C)","null","null","null"
"1676817609-1638","https://www.flashscore.com/match/Cd5lP92N/#/match-summary","08.02.2014 23:00","Almeria","Atl. Madrid","2-0Finished","Lineups","https://www.flashscore.com/match/Cd5lP92N/#/match-summary/lineups","Azeez R.","null","Estadio de los Juegos Mediterráneos (Almería)","LaLiga - Round 23","Dubarbier S.","Esteban (G)","Rafita","Soriano F. (C)","Suso","Torsiglieri M.","Trujillo A.","Verza","Vidal A.","Zongo J.","null","null","null","Aranzubia D. (G)","Costa D.","Diego","Gabi (C)","Garcia R.","Godin D.","Juanfran","Manquillo J.","Miranda","Tiago","Turan A.","null","null","null"
"1676817617-1639","https://www.flashscore.com/match/vq7tRVXA/#/match-summary","09.02.2014 13:00","Osasuna","Getafe","2-0Finished","Lineups","https://www.flashscore.com/match/vq7tRVXA/#/match-summary/lineups","Armenteros E.","null","Estadio El Sadar (Pamplona)","LaLiga - Round 23","Arribas A.","Bertran M.","Cejudo A.","Damia","de las Cuevas M.","Fernandez A. (G)","Loties J.","Punal F. (C)","Riera O.","Silva F.","null","null","null","Arroyo A.","Borja","Castro D.","Lafita A.","Lago R.","Leon P.","Lopez L.","Marica C.","Michel","Moya M. A. (G)","Rafa (C)","null","null","null"
"1676817626-1640","https://www.flashscore.com/match/Y56pQkmH/#/match-summary","09.02.2014 18:00","Valladolid","Elche","2-2Finished","Lineups","https://www.flashscore.com/match/Y56pQkmH/#/match-summary/lineups","Larsson D.","null","Estadio José Zorrilla (Valladolid)","LaLiga - Round 23","Manucho","Marino D. (G)","Mitrovic S.","Omar","Pena C.","Perez V.","Rossi F.","Rubio A. (C)","Rueda J.","Rukavina A.","null","null","null","Botia A.","Cisma D.","Coro (C)","del Moral M.","Gil C.","Herrera C.","Marquez J.","Pelegrin S.","Perez R.","Sapunaru C.","Tono (G)","null","null","null"
"1676817635-1641","https://www.flashscore.com/match/vJyoOTHT/#/match-summary","09.02.2014 20:00","Real Sociedad","Levante","0-0Finished","Lineups","https://www.flashscore.com/match/vJyoOTHT/#/match-summary/lineups","Agirretxe I.","null","Reale Arena (San Sebastian)","LaLiga - Round 23","Ansotegi I.","Bergara M.","Bravo C. (G)","Castro Irizábal G.","Cote","Griezmann A.","Martinez C.","Martinez I.","Pardo R.","Prieto X. (C)","null","null","null","Barral D.","Casadesus V.","Diop P.","Ivanschitz A.","Juanfran (C)","Karabelas N.","Lopez P.","Navarro D.","Navas K. (G)","Simao","Vyntra L.","null","null","null"
"1676817643-1642","https://www.flashscore.com/match/fVBfrX2o/#/match-summary","09.02.2014 22:00","Sevilla","Barcelona","1-4Finished","Lineups","https://www.flashscore.com/match/fVBfrX2o/#/match-summary/lineups","Bacca C.","null","Estadio Ramón Sánchez Pizjuán (Sevilla)","LaLiga - Round 23","Beto (G)","Carrico D.","Fazio F.","Figueiras D.","Gameiro K.","Iborra V.","Moreno A.","Pareja N.","Rakitic I. (C)","Vitolo","null","null","null","Adriano","Bartra M.","Iniesta A.","Messi L.","Montoya M.","Pedro","Pique G.","Sanchez A.","Song A.","Valdes V. (G)","Xavi (C)","null","null","null"
