team1,team2,team1 history points,team2 history points,team1 market value,team2 market value,audience,team1 table position,team2 table position,team1 Rank,team2 Rank,result
Betis,Real Sociedad,8,1,13.225,23.295,40.288,9,16,152,156,0
Celta Vigo,Las Palmas,-2,1,17.305,9.125,11.276,11,18,156,154,1
Valencia,Betis,11,6,39.805,13.225,35.565,4,10,156,152,1
Real Sociedad,Alaves,1,8,23.295,7.48,21.445,16,14,156,150,1
Barcelona,Atl. Madrid,8,13,109,71.115,90.356,1,2,170,166,1
Levante,Espanyol,-9,6,6.185,9.78,17.143,17,14,148,154,0
Real Madrid,Getafe,6,5,95.535,6.56,55.106,4,11,172,144,1
Dep. La Coruna,Eibar,-6,3,6.645,6.005,19.417,19,7,152,152,0
Leganes,Malaga,-6,-9,5.855,5.52,6.937,16,20,150,154,1
Sevilla,Ath Bilbao,8,3,25.32,24.94,25.185,5,14,162,158,1
Villarreal,Girona,-1,3,22,8.175,14.54,6,9,160,142,2
Alaves,Betis,1,-1,7.48,13.225,17.239,16,10,150,152,2
Ath Bilbao,Leganes,-1,1,24.94,5.855,30.787,14,13,158,150,1
Las Palmas,Villarreal,-3,-2,9.125,22,18.907,18,6,154,160,2
Atl. Madrid,Celta Vigo,6,3,71.115,17.305,55.076,2,10,166,156,1
Espanyol,Real Sociedad,6,6,9.78,23.295,20.314,15,13,154,156,1
Malaga,Barcelona,-9,11,5.52,109,26.667,20,1,154,170,2
Getafe,Levante,1,-4,6.56,6.185,8.136,11,17,144,148,2
Sevilla,Valencia,8,11,25.32,39.805,33.287,5,4,162,156,2
Eibar,Real Madrid,1,8,6.005,95.535,6.707,9,4,152,172,2
Girona,Dep. La Coruna,8,-1,8.175,6.645,10.663,7,19,142,152,1
Real Madrid,Girona,8,8,95.535,8.175,59.097,3,7,172,142,1
Celta Vigo,Malaga,1,-9,17.305,5.52,17.23,10,20,156,154,0
Villarreal,Atl. Madrid,3,8,22,71.115,19.385,6,2,160,166,1
Barcelona,Ath Bilbao,11,6,109,24.94,84.053,1,12,170,158,1
