HomeTeam,AwayTeam,Team1 Total Points,Team2 Total Points,Team1 Home Points,Team1 Away Points,Team2 Home Points,Team2 Away Points
Betis,Levante,12,9,9,3,8,1
Celta,Girona,8,6,5,3,4,2
La Coruna,Getafe,7,8,6,1,3,5
Leganes,Ath Madrid,11,15,5,6,6,9
Levante,Alaves,9,3,8,1,0,3
Sevilla,Malaga,16,1,10,6,1,0
Barcelona,Las Palmas,21,6,12,9,3,3
Real Madrid,Espanol,14,8,5,9,6,2
Sociedad,Betis,10,13,4,6,9,4
Valencia,Ath Bilbao,15,8,10,5,4,4
Villarreal,Eibar,10,6,7,3,3,3
Espanol,Levante,9,10,7,2,8,2
Alaves,Sociedad,3,13,0,3,4,9
Ath Bilbao,Sevilla,11,16,7,4,10,6
Ath Madrid,Barcelona,16,22,7,9,12,10
Getafe,Real Madrid,8,17,3,5,5,12
Betis,Valencia,13,18,9,4,10,8
Eibar,La Coruna,7,8,4,3,6,2
Girona,Villarreal,6,13,4,2,7,6
Malaga,Leganes,1,14,1,0,5,9
Las Palmas,Celta,6,11,3,3,5,6
Barcelona,Malaga,25,1,15,10,1,0
Betis,Alaves,16,3,12,4,0,3
Levante,Getafe,11,9,9,2,3,6
Valencia,Sevilla,21,16,13,8,10,6
Celta,Ath Madrid,11,19,5,6,7,12
Leganes,Ath Bilbao,17,11,8,9,7,4
Real Madrid,Eibar,20,7,8,12,4,3
Villarreal,Las Palmas,16,6,10,6,3,3
La Coruna,Girona,8,9,6,2,4,5
Sociedad,Espanol,14,10,5,9,7,3
Alaves,Valencia,3,24,0,3,13,11
Ath Bilbao,Barcelona,11,28,7,4,15,13
Ath Madrid,Villarreal,20,17,8,12,10,7
Sevilla,Leganes,19,17,13,6,8,9
Eibar,Levante,8,12,5,3,9,3
Getafe,Sociedad,12,14,6,6,5,9
Girona,Real Madrid,12,20,7,5,8,12
Malaga,Celta,4,11,4,0,5,6
Espanol,Betis,13,16,10,3,12,4
Las Palmas,La Coruna,6,11,3,3,6,5
Betis,Getafe,17,13,13,4,6,7
Alaves,Espanol,6,13,3,3,10,3
Barcelona,Sevilla,31,19,18,13,13,6
La Coruna,Ath Madrid,11,23,6,5,8,15
Valencia,Leganes,27,17,16,11,8,9
Celta,Ath Bilbao,14,11,8,6,7,4
Levante,Girona,12,15,9,3,7,8
Real Madrid,Las Palmas,23,6,11,12,3,3
Sociedad,Eibar,17,8,8,9,5,3
Villarreal,Malaga,20,4,13,7,4,0
Girona,Sociedad,16,18,8,8,8,10
Ath Madrid,Real Madrid,24,24,9,15,11,13
Getafe,Alaves,16,6,9,7,3,3
Leganes,Barcelona,17,34,8,9,18,16
Sevilla,Celta,22,14,16,6,8,6
Ath Bilbao,Villarreal,12,21,8,4,13,8
Espanol,Valencia,13,30,10,3,16,14
Las Palmas,Levante,6,15,3,3,9,6
Malaga,La Coruna,7,11,7,0,6,5
Eibar,Betis,11,17,8,3,13,4
Celta,Leganes,17,17,11,6,8,9
Alaves,Eibar,6,14,3,3,8,6
Betis,Girona,18,17,14,4,8,9
Levante,Ath Madrid,15,27,9,6,9,18
Real Madrid,Malaga,27,7,14,13,7,0
La Coruna,Ath Bilbao,12,13,7,5,8,5
Sociedad,Las Palmas,19,7,9,10,3,4
Valencia,Barcelona,31,35,17,14,18,17
Villarreal,Sevilla,21,25,13,8,16,9
Espanol,Getafe,16,16,13,3,9,7
Malaga,Levante,8,16,8,0,9,7
Ath Bilbao,Real Madrid,14,28,9,5,14,14
Ath Madrid,Sociedad,30,19,12,18,9,10
Barcelona,Celta,36,18,19,17,11,7
Sevilla,La Coruna,28,12,19,9,7,5
Eibar,Espanol,17,16,11,6,13,3
