history points difference,market value difference,audience,table position difference,league titles difference,champions league titles difference,europa league titles difference,Rank difference,result
0,-9.129999999999999,6.392,1,0,0,0,-7,1
-6,-85.755,19.805,13,-33,-12,-2,-9,1
13,1.294999999999999,16.812,-1,0,0,0,1,1
-3,8.18,11.276,-7,0,0,0,1,1
5,26.58,35.565,-6,5,0,1,2,1
-7,15.814999999999998,21.445,2,2,0,0,3,1
-5,37.885000000000005,90.356,-1,14,5,-2,2,1
1,88.975,55.106,-7,33,12,2,14,1
3,0.3349999999999991,6.937,-4,0,0,0,-2,1
5,0.379999999999999,25.185,-9,-7,0,5,2,1
-4,13.825,14.54,-3,0,0,1,9,2
2,-5.745,17.239,6,-1,0,0,-1,2
-2,19.085,30.787,1,8,0,0,4,1
-1,-12.875,18.907,12,0,0,-1,-3,2
3,53.809999999999995,55.076,-8,10,0,2,5,1
0,-13.514999999999999,20.314,2,-2,0,0,-1,1
-20,-103.48,26.667,19,-24,-5,0,-8,2
5,0.3749999999999991,8.136,-6,0,0,0,-2,2
-3,-14.485,33.287,1,-5,0,4,3,2
-7,-89.53,6.707,5,-33,-12,-2,-10,2
9,1.5300000000000002,10.663,-12,-1,0,0,-5,1
0,87.36,59.097,-4,33,12,2,15,1
-5,-49.114999999999995,19.385,4,-10,0,-1,-3,1
5,84.06,84.053,-11,16,5,0,6,1
-3,-19.465,10.037,9,-1,0,-5,-6,1
-2,3.4450000000000003,31.23,-6,1,0,0,-1,1
3,16.735,17.509,4,2,0,0,6,2
15,32.325,35.264,-12,6,0,1,3,1
2,0.1800000000000006,16.028,8,0,0,0,-2,1
-10,-86.41,22.942,15,-33,-12,-2,-9,2
-2,-6.665,10.628,3,-1,0,0,-4,2
2,64.47,49.351,-17,9,0,2,7,1
-7,-16.48,19.142,15,0,0,-1,-3,1
-7,-33.95,10.697,8,-6,0,-1,-3,2
0,-2.9400000000000013,14.879,-8,-8,0,1,1,2
10,30.025,36.296,-10,6,0,1,1,1
-5,15.119999999999997,18.027,7,2,0,0,7,1
14,-2.9399999999999995,18.402,-1,0,0,0,-3,1
10,103.145,72.126,-13,24,5,0,10,1
10,7.22,50.194,-3,1,0,0,0,1
3,-8.015,16.919,2,-1,0,-5,-3,1
0,0.9199999999999999,18.241,5,0,0,0,3,1
-5,1.125,16.932,-1,1,0,0,-1,1
-12,-90.015,27.112,16,-33,-12,-2,-9,2
-3,-3.2199999999999998,10.593,-4,0,0,0,-5,1
-5,64.92999999999999,58.043,-15,10,0,2,9,1
-7,-1.4749999999999996,5.754,-5,0,0,0,1,2
