team1 history points,team2 history points,team1 market value,team2 market value,audience,team1 table position,team2 table position,team1 Rank,team2 Rank,result
6,-4,24.94,23.295,45.504,14,12,158,156,0
6,-1,25.32,6.185,25.803,5,16,162,148,0
-2,-1,6.645,17.305,27.877,17,13,152,156,2
-2,-2,39.805,22,39.181,3,6,156,160,2
11,8,95.535,109,80.264,4,1,172,170,2
1,13,9.78,71.115,19.327,15,2,154,166,1
0,6,13.225,24.94,42.713,8,15,152,158,2
1,-1,7.48,5.52,18.733,18,19,150,154,1
11,5,6.005,8.175,4.867,9,7,152,142,1
-2,6,23.295,25.32,17.205,14,5,156,162,1
-1,3,6.56,9.125,9.231,14,20,144,154,1
-1,-4,6.185,5.855,14.639,16,14,148,150,0
-2,1,5.52,9.78,12.149,19,15,154,154,2
0,3,17.305,95.535,20.872,13,4,156,172,0
8,8,24.94,7.48,41,14,18,158,150,1
3,-4,22,6.645,15.442,6,17,160,152,0
10,1,109,6.185,56.38,1,16,170,148,1
1,1,5.855,23.295,7.523,15,10,150,156,1
-1,-4,25.32,13.225,40.282,5,15,162,152,2
-1,11,9.125,6.005,12.059,20,7,154,152,2
-4,1,39.805,8.175,27.749,4,11,156,142,1
6,6,71.115,6.56,47.023,3,13,166,144,1
3,1,13.225,5.855,41.777,10,9,152,150,1
-1,13,23.295,109,23.277,12,1,156,170,2
6,11,9.78,24.94,20.228,14,9,154,158,0
1,-6,7.48,25.32,19.413,18,5,150,162,1
-3,1,6.185,17.305,17.007,16,15,148,156,2
1,3,6.645,39.805,19.031,18,3,152,156,2
10,8,6.005,71.115,6.186,7,3,152,166,2
6,6,95.535,22,63.403,4,6,172,160,2
1,-6,8.175,9.125,10.037,13,20,142,154,1
-2,-4,6.56,5.52,9.513,15,19,144,154,1
6,-9,6.005,5.52,4.52,7,19,152,154,0
8,13,13.225,109,53.426,8,1,152,170,2
-2,6,23.295,17.305,19.081,15,12,156,156,2
-1,-6,95.535,6.645,63.504,4,18,172,152,1
3,-1,7.48,5.855,19.637,17,13,150,150,0
-7,3,9.125,39.805,20.242,20,3,154,156,1
11,-4,22,6.185,16.773,5,17,160,148,1
8,3,71.115,8.175,55.076,2,10,166,142,0
8,-7,9.78,25.32,19.607,14,6,154,162,2
3,8,6.56,24.94,11.457,11,12,144,158,0
11,1,17.305,13.225,14.667,8,9,156,152,1
13,6,109,7.48,62.369,1,16,170,150,1
-2,6,25.32,6.56,34.011,6,11,162,144,0
6,-2,71.115,9.125,55.363,2,19,166,154,1
3,4,5.855,9.78,10.132,13,14,150,154,1
11,-4,22,23.295,15.052,5,15,160,156,1
-4,1,5.52,8.175,22.125,20,12,154,142,0
1,1,39.805,95.535,47.034,3,4,156,172,2
-6,-7,6.645,6.185,20.151,18,17,152,148,0
9,6,24.94,6.005,39.331,13,8,158,152,0
-4,-1,9.125,5.52,17.424,19,20,154,154,1
11,1,71.115,39.805,49.596,2,4,166,156,1
4,7,8.175,24.94,9.602,11,13,142,158,1
-1,13,9.78,109,23.287,14,1,154,170,0
4,6,6.56,5.855,10.657,10,11,144,150,0
-4,5,6.185,95.535,23.542,17,3,148,172,0
-1,10,7.48,17.305,19.437,17,7,150,156,1
1,10,13.225,22,50.102,12,5,152,160,1
4,1,6.005,25.32,5.311,10,6,152,162,1
-9,-2,23.295,6.645,15.626,15,18,156,152,1
-6,3,6.645,13.225,20.49,18,10,152,152,2
-4,-1,39.805,6.185,38.199,4,17,156,148,1
6,-2,17.305,9.78,15.649,9,15,156,154,0
11,7,109,6.56,75.681,1,11,170,144,0
-1,9,25.32,8.175,33.129,6,10,162,142,1
6,-2,95.535,23.295,63.811,4,14,172,156,1
4,4,5.855,6.005,9.327,12,8,150,152,2
-3,11,5.52,71.115,25.482,20,2,154,166,2
6,6,22,7.48,14.984,5,16,160,150,2
-1,3,24.94,9.125,33.679,13,19,158,154,0
4,6,6.56,17.305,8.367,11,9,144,156,1
3,11,13.225,95.535,53.486,8,3,152,172,2
-1,1,9.78,22,19.688,15,5,154,160,0
10,1,71.115,24.94,60.022,2,13,166,158,1
-4,-3,23.295,6.185,18.173,15,17,156,148,1
-4,-2,5.52,39.805,21.134,20,4,154,156,2
5,-6,7.48,6.645,19.453,16,19,150,152,1
8,9,6.005,109,6.76,7,1,152,170,2
6,6,9.125,25.32,19.161,18,6,154,162,2
1,1,8.175,5.855,9.142,11,12,142,150,1
-4,1,6.185,13.225,16.545,17,9,148,152,2
5,13,25.32,71.115,37.884,5,2,162,166,2
3,3,39.805,23.295,37.195,4,13,156,156,1
-4,-7,24.94,5.52,37.518,14,20,158,154,1
1,6,22,6.56,16.125,6,10,160,144,1
9,5,109,8.175,85.417,1,9,170,142,1
-1,-1,5.855,9.125,9.325,13,18,150,154,0
11,8,95.535,7.48,75.181,4,15,172,150,1
-1,3,17.305,6.005,15.383,11,8,156,152,1
-7,2,6.645,9.78,18.028,19,16,152,154,0
1,1,6.005,22,4.056,8,5,152,160,1
13,-2,71.115,5.855,35.033,2,13,166,150,1
1,8,24.94,39.805,34.382,12,4,158,156,0
1,-4,6.56,6.645,5.097,11,19,144,152,1
-9,1,5.52,25.32,15.516,20,6,154,162,2
1,1,8.175,17.305,6.392,11,10,142,156,1
4,10,9.78,95.535,19.805,16,3,154,172,1
6,-7,7.48,6.185,16.812,16,17,150,148,1
4,8,9.125,109,23.778,18,1,154,170,0
8,1,13.225,23.295,40.288,9,16,152,156,0
-2,1,17.305,9.125,11.276,11,18,156,154,1
11,6,39.805,13.225,35.565,4,10,156,152,1
1,8,23.295,7.48,21.445,16,14,156,150,1
8,13,109,71.115,90.356,1,2,170,166,1
-9,6,6.185,9.78,17.143,17,14,148,154,0
6,5,95.535,6.56,55.106,4,11,172,144,1
-6,3,6.645,6.005,19.417,19,7,152,152,0
-6,-9,5.855,5.52,6.937,16,20,150,154,1
8,3,25.32,24.94,25.185,5,14,162,158,1
-1,3,22,8.175,14.54,6,9,160,142,2
1,-1,7.48,13.225,17.239,16,10,150,152,2
-1,1,24.94,5.855,30.787,14,13,158,150,1
-3,-2,9.125,22,18.907,18,6,154,160,2
6,3,71.115,17.305,55.076,2,10,166,156,1
6,6,9.78,23.295,20.314,15,13,154,156,1
-9,11,5.52,109,26.667,20,1,154,170,2
1,-4,6.56,6.185,8.136,11,17,144,148,2
8,11,25.32,39.805,33.287,5,4,162,156,2
1,8,6.005,95.535,6.707,9,4,152,172,2
8,-1,8.175,6.645,10.663,7,19,142,152,1
8,8,95.535,8.175,59.097,3,7,172,142,1
1,-9,17.305,5.52,17.23,10,20,156,154,0
3,8,22,71.115,19.385,6,2,160,166,1
11,6,109,24.94,84.053,1,12,170,158,1
-2,1,5.855,25.32,10.037,15,6,150,162,1
6,8,13.225,9.78,31.23,8,14,152,154,1
-1,-4,23.295,6.56,17.509,15,11,156,144,2
11,-4,39.805,7.48,35.264,4,16,156,150,1
-4,-4,6.645,9.125,18.942,19,18,152,154,0
1,-1,6.185,6.005,16.028,17,9,148,152,1
1,10,25.32,109,37.588,6,1,162,170,0
-2,8,9.125,95.535,22.942,18,3,154,172,2
-2,1,24.94,17.305,33.657,13,10,158,156,0
6,6,8.175,6.185,11.391,7,17,142,148,0
3,5,6.56,13.225,10.628,11,8,144,152,2
1,-1,71.115,6.645,49.351,2,19,166,152,1
-1,-2,6.005,23.295,6.233,10,15,152,156,0
-4,3,5.52,22,19.142,20,5,154,160,1
3,10,5.855,39.805,10.697,12,4,150,156,2
4,-4,9.78,7.48,15.448,14,16,154,150,0
1,1,22,24.94,14.879,5,13,160,158,2
13,3,39.805,9.78,36.296,4,14,156,154,1
1,6,23.295,8.175,18.027,15,8,156,142,1
13,3,95.535,71.115,78.769,4,2,172,166,0
8,-6,6.185,9.125,18.402,17,18,148,154,1
11,1,109,5.855,72.126,1,14,170,150,1
8,-2,13.225,6.005,50.194,7,10,152,152,1
4,1,17.305,25.32,16.919,9,7,156,162,1
-4,-4,7.48,6.56,18.241,16,11,150,144,1
-4,1,6.645,5.52,16.932,19,20,152,154,1
-1,11,5.52,95.535,27.112,20,4,154,172,2
-4,-1,6.56,9.78,10.593,11,15,144,154,1
6,11,71.115,6.185,58.043,2,17,166,148,1
-6,1,6.005,7.48,5.754,11,16,152,150,2
6,1,24.94,6.645,37.715,12,18,158,152,1
-6,1,9.125,23.295,10.531,19,14,154,156,2
-4,4,5.855,17.305,10.393,15,9,150,156,1
11,13,109,39.805,69.544,1,4,170,156,1
-6,1,25.32,22,32.192,7,6,162,160,0
-1,13,8.175,13.225,11.286,8,5,142,152,2
13,-7,13.225,9.125,45.151,5,19,152,154,1
4,-2,6.185,5.52,17.372,17,20,148,154,1
6,-6,7.48,8.175,18.366,15,8,150,142,2
6,6,23.295,71.115,21.404,12,2,156,166,1
11,-1,95.535,24.94,59.193,3,13,172,158,0
-6,-6,9.78,6.005,12.113,16,12,154,152,2
6,3,39.805,6.56,35.829,4,12,156,144,2
