Player_ID,Name,Rank,Preferred Positions,Age,10-Jan,RankPOT
33,Bruno,84,CM,33,2,8484
186,Bruno,77,CB,27,7,7780
330,Bruno Gama,74,RMCAMLM,29,12,7474
362,Bueno,73,CAM,29,13,7373
275,Burgui,75,LMCAMRMCF,23,10,7581
347,Bustinza,73,CBRBRWB,25,12,7377
70,C?dric Bakambu,81,STLM,26,3,8184
499,Caio Henrique,66,CAM,20,17,6683
68,Camacho,81,CDMCM,27,3,8184
231,Camarasa,76,CMCDMCAM,23,8,7684
122,Canales,79,CAMLMLW,26,5,7982
463,Canella,69,LBLWB,29,16,6969
571,Cantero,63,GK,22,20,6372
187,Capa,77,RBRM,25,7,7782
154,Carles Gil,78,RMCAM,24,6,7883
276,Carles Planas,75,LB,26,10,7578
486,Carlos Abad,67,GK,22,17,6777
487,Carlos Fern?ndez,67,ST,21,17,6778
543,Carlos Gonz?lez,64,LWSTCAM,20,19,6480
69,Carlos Idriss Kameni,81,GK,33,3,8181
302,Carlos Mart?nez,75,RB,31,11,7575
268,Carlos Soler,75,CMCAMRW,20,9,7581
61,Carlos Vela,82,RWST,28,3,8282
392,Carmona,72,RMCAMCM,30,14,7272
25,Carvajal,84,RB,25,1,8487
26,Casemiro,84,CDM,25,1,8488
379,Castro,72,STCAM,22,13,7278
247,Cejudo,76,RMLMRB,33,9,7676
155,Celso Borges,78,CDMCM,29,6,7878
214,Charles,77,ST,33,8,7777
602,Chiki,61,CAMCFST,20,21,6173
435,Christian Rivera,70,CDMCM,20,15,7082
363,Christian Santos,73,STCAM,29,13,7373
603,Cifr?,61,RB,24,21,6166
277,Cl?ment Lenglet,75,CB,22,10,7584
331,Claudio Beauvue,74,STRW,29,12,7474
393,Clerc,72,LWBLBLM,25,14,7277
436,Concha,70,RMLMCAM,20,15,7082
616,Corral,60,LBCB,23,21,6068
604,Cris Salvador,61,CMCDM,22,21,6167
582,Cristian,62,CBCDM,22,20,6274
248,Cristiano Piccini,76,RBRWB,24,9,7683
1,Cristiano Ronaldo,94,LWST,32,1,9494
278,Dani Castellano,75,LB,29,10,7575
144,Dani Ceballos,78,CMLMCDMCAM,21,5,7886
110,Dani Garc?a,79,CDM,27,4,7981
451,Dani Gim?nez,70,GK,34,16,7070
605,Dani Iglesias,61,ST,21,21,6171
544,Dani Molina,64,CMCAM,21,19,6477
71,Daniel Carri?o,81,CBCDM,29,3,8182
464,Daniel Ndi,69,CAMCF,21,16,6976
188,Daniel Torres,77,CDMCM,27,7,7779
91,Daniel Wass,80,CMCAM,28,4,8080
215,Daniele Bonera,77,CB,36,8,7777
156,Danilo,78,RBLB,26,6,7881
617,Dar?o Poveda,60,ST,20,21,6073
348,Darko Brasanac,73,CMRM,25,12,7378
349,Darwin Mach?s,73,LMRMST,24,12,7379
216,David Garc?a,77,CBRB,35,8,7777
279,David Junc?,75,LB,23,10,7581
189,David L?pez,77,CBCMCDM,27,7,7778
314,David Sim?n,74,RBRWB,27,11,7475
350,David Soria,73,GK,24,12,7381
437,Davy Roef,70,GK,23,15,7077
519,De La Hoz,65,CDMCB,25,18,6572
364,De las Cuevas,73,CMCAMRMLM,31,13,7373
72,De Marcos,81,RBRW,28,3,8181
111,Denis Cheryshev,79,LMLW,26,4,7980
92,Denis Su?rez,80,CMLMRM,23,4,8087
145,Denys Boyko,78,GK,29,5,7878
452,Didier Digard,70,CDMCMCB,31,16,7070
520,Diego Alende,65,CB,19,18,6575
521,Diego Barrios,65,GK,23,18,6573
9,Diego God?n,88,CB,31,1,8888
62,Diego L?pez,82,GK,35,3,8282
157,Diego Llorente,78,CBCDMRB,24,6,7886
315,Diego Mari?o,74,GK,27,11,7477
606,Diego Parras,61,RB,21,21,6173
190,Diego Reyes,77,CBCDM,24,7,7783
232,Diego Rico,76,LBCB,24,8,7681
421,Dimitri Foulquier,71,RBRWBLB,24,15,7176
280,Dimitrios Siovas,75,CBCDM,28,10,7575
394,Douglas,72,RBRWBRM,27,14,7273
395,Duda,72,CAMRM,37,14,7272
281,Duje ?op,75,ST,27,10,7576
282,Edgar M?ndez,75,RMLM,26,10,7576
488,Edu Exp?sito,67,CAMCM,21,17,6780
572,Einar Galilea,63,CB,22,20,6371
422,Elderson Echi?jil?,71,LBLMLWB,29,15,7171
123,Eliaquim Mangala,79,CB,26,5,7982
583,Eliseo Falc?n,62,CBRB,20,20,6275
453,Emmanuel Rivi?re,70,ST,27,16,7071
124,Emre ?olak,79,CAMRMLMCM,26,5,7982
481,Enzo Fern?ndez,68,LMCAM,22,17,6880
158,Enzo P?rez,78,CMCDM,31,6,7878
316,Eraso,74,CAMCDM,27,11,7475
597,Eric Curbelo,61,CBRB,23,20,6169
584,Erik Exp?sito,62,ST,21,20,6274
423,Erik Mor?n,71,CDMCM,26,15,7176
598,Erik Ruiz,61,CB,22,20,6170
125,Escudero,79,LBLM,27,5,7980
545,Etxaburu,64,CAMCM,23,19,6472
159,Etxeita,78,CB,29,6,7878
546,Eugeni,64,CAMCM,23,19,6471
38,Ezequiel Garay,83,CB,30,2,8383
380,Ezequiel Ponce,72,STLM,20,13,7280
217,F?bio Coentr?o,77,LBLM,29,8,7777
73,Fabi?n Orellana,81,RWCAMCMLW,31,3,8181
218,Facundo Roncaglia,77,CBRBLB,30,8,7777
396,Fausto Tienza,72,CDMCM,27,14,7274
283,Fay?al Fajr,75,CAMLMRM,29,10,7575
269,Federico Ricca,75,LB,22,9,7583
219,Felipe Caicedo,77,ST,28,8,7777
303,Fernando Amorebieta,75,CBLB,32,11,7575
332,Fernando Navarro,74,LB,35,12,7474
74,Fernando Torres,81,ST,33,3,8181
21,Filipe Lu?s,85,LB,32,1,8585
126,Florian Lejeune,79,CB,26,5,7983
112,Florin Andone,79,ST,24,4,7984
160,Font?s,78,CB,27,6,7880
365,Fran M?rida,73,CDMCMCAM,27,13,7374
220,Fran Rico,77,CDMCMCAM,30,8,7777
438,Fran Villalba,70,CAMCM,19,15,7080
366,Franck Tabanou,73,LBLWBLMLW,28,13,7373
522,Franco Acosta,65,ST,21,18,6575
51,Franco V?zquez,82,CAMCMSTCF,28,2,8282
397,Fuentes,72,LBCBLWB,27,14,7273
250,G?lvez,76,CBCDM,28,9,7677
221,Ga?l Kakuta,77,LMRM,26,8,7778
63,Gabi,82,CMCDM,34,3,8282
191,Gabriel,77,CAMSTCMCDM,23,7,7782
249,Gabriel Mercado,76,CBRB,30,9,7676
93,Ganso,80,CAMCM,27,4,8081
5,Gareth Bale,90,RW,28,1,9090
398,Gast?n Silva,72,CBLWBLMLB,23,14,7277
113,Gay?,79,LB,22,4,7984
399,Gazta?aga,72,CDMCBCM,26,14,7277
39,Ger?nimo Rulli,83,GK,25,2,8389
439,Gerard,70,CMCDMCB,22,15,7074
192,Gerard Moreno,77,ST,25,7,7782
251,Germ?n Lux,76,GK,35,9,7676
161,Germ?n Pezzella,78,CB,26,6,7883
127,Giuseppe Rossi,79,ST,30,5,7979
252,Gonzalo Castro,76,LM,32,9,7676
162,Gonzalo Escalante,78,CDMCM,24,6,7885
381,Goran ?au?i?,72,CMCDM,25,13,7277
253,Granero,76,CMCAMCDM,30,9,7676
317,Guerrero,74,ST,27,11,7475
233,Guilherme,76,CDMCMCAM,26,8,7678
128,Guillermo Ochoa,79,GK,32,5,7979
535,Guridi,64,CMCAM,22,18,6474
523,Gus Ledes,65,CMCDMLB,24,18,6572
94,Gustavo Cabral,80,CB,31,4,8080
424,H?ctor,71,LBLWBLM,26,15,7174
400,H?lder Lopes,72,LB,28,14,7272
401,Hern?n,72,CDMCM,26,14,7275
163,Hern?n P?rez,78,RMLM,28,6,7878
524,Hugo Gomes,65,CB,22,18,6570
95,Hugo Mallo,80,RBCB,26,4,8083
547,Hugo Rama,64,CAMCM,20,19,6479
75,I?igo Mart?nez,81,CB,26,3,8185
40,Iago Aspas,83,STRW,30,2,8383
254,Iago Herrer?n,76,GK,29,9,7676
255,Ibai G?mez,76,LMLWCAM,27,9,7676
52,Iborra,82,CDMCAMCM,29,2,8282
129,Illarramendi,79,CMCDM,27,5,7980
465,Imanol Garc?a,69,CMCDM,21,16,6977
10,Iniesta,88,CM,33,1,8888
284,Insua,75,CB,23,10,7580
222,Iraizoz,77,GK,36,8,7777
402,Isaac Cuenca,72,RMLMRWRWB,26,14,7273
22,Isco,85,CMCAMRM,25,1,8589
425,Isma L?pez,71,LBLWBLM,27,15,7172
76,Iturraspe,81,CM,28,3,8181
304,Iv?n Cu?llar,75,GK,33,11,7575
482,Iv?n M?rquez,68,CB,23,17,6875
223,Iv?n Ramis,77,CB,32,8,7777
548,Iv?n Villar,64,GK,20,19,6475
13,Ivan Rakiti?,87,CM,29,1,8787
382,J?r?mie Boga,72,RMSTCAMLM,20,13,7282
78,J?r?my Mathieu,81,CBLB,33,3,8181
624,Jack Harper,59,STCF,21,21,5973
333,Jaime Romero,74,RMLM,27,12,7474
14,James Rodr?guez,87,CAMCMRM,26,1,8790
15,Jan Oblak,87,GK,24,1,8791
561,Jardel,63,STLMRM,19,19,6374
77,Jasper Cillessen,81,GK,28,3,8183
285,Jaume,75,GK,26,10,7579
130,Jaume Costa,79,LBLM,29,5,7979
585,Javi Ben?tez,62,GK,20,20,6271
367,Javi Castellano,73,CDMCM,29,13,7373
618,Javi D?az,60,GK,20,21,6072
466,Javi Fla?o,69,LWBRWBLB,32,16,6969
131,Javi Fuego,79,CDMCMCB,33,5,7979
607,Javi Jim?nez,61,CB,20,21,6169
608,Javi Jim?nez,61,LBLM,21,21,6169
193,Javi L?pez,77,RB,31,7,7777
440,Javi Ontiveros,70,LMRM,19,15,7083
224,Javi Varas,77,GK,34,8,7777
34,Javier Mascherano,84,CBCDM,33,2,8484
525,Jean Carlos,65,LWRWCAM,21,18,6572
334,Jean-Sylvain Babin,74,CB,30,12,7474
114,Jes?,79,LMSTRM,24,4,7985
489,Jhon Steven Mondrag?n,67,CBRB,22,17,6774
115,Jo?o Cancelo,79,RBRMRWRWB,23,4,7986
164,Joaqu?n,78,RMCAMST,36,6,7878
318,Joaqu?n Correa,74,CAMLMLW,23,11,7483
625,Joel Arimany,58,ST,19,21,5872
165,John Guidetti,78,ST,25,6,7882
479,Jon Bautista,68,ST,22,16,6879
256,Jonas Martin,76,CMCDMLM,27,9,7677
53,Jonathan Viera,82,CMLMCAM,27,2,8282
194,Jonny,77,LBRBCB,23,7,7783
146,Jony,78,LMRM,26,5,7879
17,Jordi Alba,86,LB,28,1,8686
441,Jordi Masip,70,GK,28,15,7071
147,Jorge Mer?,78,CB,20,5,7884
335,Jos? ?ngel,74,LB,27,12,7475
563,Jos? ?ngel,63,CB,21,19,6371
562,Jos? Amo,63,CB,19,19,6373
442,Jos? Carlos,70,CBLB,21,15,7080
41,Jos? Mar?a Gim?nez,83,CB,22,2,8388
286,Jos? Rodr?guez,75,CDMRMCMCAM,22,10,7580
500,Jos? Suarez,66,GK,21,17,6677
305,Joselu,75,ST,27,11,7576
564,Josu? Dorrio,63,LWLMRW,23,19,6370
195,Jozabed,77,CAMCDMCM,26,7,7780
619,Juan Jos? Narv?ez,60,ST,22,21,6071
586,Juan Moreno,62,RM,20,20,6271
234,Juan Pablo A?or,76,RMCAM,23,8,7685
565,Juan Rodr?guez,63,CBCDM,22,19,6370
587,Juanan Entrena,62,LWRWLM,21,20,6269
42,Juanfran,83,RB,32,2,8383
166,Juanfran,78,RB,28,6,7878
319,Juankar,74,LBLM,27,11,7475
573,Juanma,63,CFSTCAM,24,20,6369
287,Juanmi,75,CAMSTLW,24,10,7582
574,Julen L?pez,63,CB,22,20,6373
167,Jurado,78,LMRMCAMCM,31,6,7878
43,K?vin Gameiro,83,ST,30,2,8383
549,K?vin Rodrigues,64,LBLM,23,19,6472
18,Karim Benzema,86,ST,29,1,8686
588,Keidi Bare,62,CAMCDMCM,19,20,6275
132,Keko,79,RMRW,25,5,7982
426,Kenan Kodro,71,STLM,23,15,7179
96,Kevin-Prince Boateng,80,STLMCAM,30,4,8080
23,Keylor Navas,85,GK,30,1,8585
320,Kike,74,ST,27,11,7475
550,Kike Barja,64,RMRW,20,19,6473
97,Kiko Casilla,80,GK,30,4,8080
336,Kiko Femen?a,74,RBRM,26,12,7477
27,Koke,84,CMRMLM,25,1,8488
575,Kuki Zalazar,63,RWCAM,19,20,6379
288,Lacina Traor?,75,ST,27,10,7576
257,Laguardia,76,CB,27,9,7678
414,Lato,71,LBLWBLM,19,14,7182
368,Laure,73,RBLB,32,13,7373
321,Lekue,74,RBLBRWLW,24,11,7481
98,Leo Baptistao,80,STRM,24,4,8085
415,Leonardo Su?rez,71,CAM,21,14,7182
403,Lillo,72,RBLBCBRWB,28,14,7272
2,Lionel Messi,93,RW,30,1,9393
490,Lluis L?pez,67,CB,20,17,6779
289,Lomb?n,75,CBRB,30,10,7575
369,Lora,73,RB,30,13,7373
196,Lu?s Hern?ndez,77,CBRB,28,7,7778
116,Lucas Digne,79,LB,24,4,7984
235,Lucas Hern?ndez,76,CBLB,21,8,7687
54,Lucas V?zquez,82,RWRM,26,2,8283
404,Luciano,72,STCAM,24,14,7277
117,Luciano Vietto,79,ST,23,4,7986
620,Luis Mu?oz,60,CB,20,21,6070
3,Luis Su?rez,92,ST,30,1,9292
225,Luisinho,77,LBLM,32,8,7777
6,Luka Modri?,89,CMCDM,31,1,8989
290,Luna,75,LBLWBLM,26,10,7578
467,Mamadou Kone,69,STRW,25,16,6974
306,Manu Garc?a,75,CDMCMLB,31,11,7575
454,Manu Herrera,70,GK,35,16,7070
512,Manu Molina,66,CMCAM,25,18,6671
55,Manu Trigueros,82,CM,25,2,8285
351,Mar?n,73,LBLWB,20,12,7382
526,Marc Cardona,65,ST,22,18,6574
443,Marc Navarro,70,RBCB,22,15,7079
322,Marc Roca,74,CDMCM,20,11,7483
28,Marc-Andr? ter Stegen,84,GK,25,1,8488
19,Marcelo,86,LB,29,1,8686
99,Marcelo D?az,80,CMCDM,30,4,8080
56,Marco Asensio,82,CAMRMLMLW,21,2,8289
178,Marcos Llorente,77,CDMCM,22,6,7786
133,Mariano,79,RBRM,31,5,7979
323,Mariano,74,ST,24,11,7481
307,Mariano Barbosa,75,GK,33,11,7575
455,Mario Fern?ndez,70,GK,29,16,7072
79,Mario Gaspar,81,RB,26,3,8184
536,Mario Gonz?lez,64,LWST,21,18,6474
226,Mario Su?rez,77,CMCDMCB,30,8,7777
527,Markel Areitio,65,GK,20,18,6577
370,Markel Bergara,73,CMCDM,31,13,7373
291,Marko Livaja,75,ST,23,10,7581
352,Marlon Santos,73,CB,21,12,7383
444,Marlos Moreno,70,LMRMST,20,15,7082
537,Mart?n Hongla,64,CBCDMCM,19,18,6471
258,Mart?n Mantovani,76,CB,33,9,7676
197,Mat?as Kranevitter,77,CDMCM,24,7,7785
416,Mateo Garc?a,71,LMRM,20,14,7183
80,Mateo Kova?i?,81,CM,23,3,8187
44,Mateo Musacchio,83,CB,26,2,8387
405,Matthieu Saunier,72,CB,27,14,7273
179,Mauricio Lemos,77,CB,21,6,7785
236,Mauro Dos Santos,76,CB,28,8,7677
292,Medr?n,75,CMCDMCAM,23,10,7581
168,Mehdi Carcela-Gonz?lez,78,RMLMRW,28,6,7878
501,Melendo,66,CMRMLM,19,17,6679
551,Merquelanz,64,LMRM,22,19,6473
81,Michael Krohn-Dehli,81,LMCMCAM,34,3,8181
383,Michael Santos,72,STRM,24,13,7278
259,Michel Macedo,76,RBRWB,27,9,7677
528,Micka?l Latour,65,LWRW,21,18,6577
337,Miguel Fla?o,74,CB,32,12,7474
308,Miguel Torres,75,LBRBCB,31,11,7575
589,Miguel?n,62,RB,21,20,6276
260,Mikel Gonzalez,76,CB,31,9,7676
309,Mikel Rico,75,CM,32,11,7575
82,Mikel San Jos?,81,CM,28,3,8181
270,Mikel Villanueva,75,CBLB,24,9,7580
590,Mohamed Zakaria Boulahia,62,ST,20,20,6275
324,Moi G?mez,74,LMRMCMCAM,23,11,7480
609,Molina,61,CBRB,23,21,6167
371,Momo,73,LMRM,35,13,7373
427,Montoro,71,CDMCM,29,15,7171
198,Montoya,77,RBLB,26,7,7780
57,Morata,82,STLW,24,2,8286
227,Mosquera,77,CDMCM,29,8,7777
566,Moussa Camara,63,ST,22,19,6372
83,Moy?,81,GK,33,3,8181
293,Mubarak Wakaso,75,LMRMCMCDM,27,10,7575
552,Muguruza,64,RWRMLW,23,19,6473
169,Muniain,78,LWCAM,24,6,7883
294,Munir,75,RWSTLWCF,21,10,7582
261,Nabil El Zhar,76,RMLMCAM,30,9,7676
353,Nacho Cases,73,CDMCM,29,12,7373
100,Nacho Fern?ndez,80,CBLBRB,27,4,8082
529,Nacho Gil,65,CAMLW,21,18,6573
502,Nacho Monsalve,66,CBRBLB,23,17,6672
538,Nacho Vidal,64,RBLB,22,18,6470
384,Nahuel Leiva,72,RMLM,20,13,7281
45,Nani,83,LWRWCAMLM,30,2,8383
385,Nano,72,STCAMLM,22,13,7282
428,Nauzet,71,GK,32,15,7171
148,Nemanja Radoja,78,CMCDM,24,5,7883
406,Nenad Krsti?i?,72,CMCDMCAM,26,14,7275
456,Nereo Champagne,70,GK,32,16,7070
4,Neymar,92,LW,25,1,9294
35,Nicol?s Gait?n,84,LM,29,2,8484
134,Nicol?s Pareja,79,CB,33,5,7979
591,Nicol?s Schiappacasse,62,LWSTRW,18,20,6278
118,Nicola Sansone,79,STLW,25,4,7982
457,Nikola Vujadinovi?,70,CBLB,31,16,7070
530,Nikos Vergos,65,STCF,21,18,6574
468,Nili Perdomo,69,RBRM,23,16,6978
386,Odriozola,72,RBRM,21,13,7279
325,Oier,74,CBRWBRBCM,31,11,7474
407,Ola John,72,LMRM,25,14,7275
599,Olabe,61,LMCM,21,20,6170
469,Olavide,69,RMCMCAM,21,16,6978
610,Oleksiy Gutsulyak,61,LWST,19,21,6180
262,Omar Ramos,76,RMLM,29,9,7676
470,Omer Atzili,69,RMLMCAM,24,16,6974
338,Oriol Riera,74,ST,31,12,7474
149,Oyarzabal,78,LWRWST,20,5,7885
567,Pablo Fern?ndez,63,STRMCF,20,19,6372
180,Pablo Fornals,77,CMCDMCAMRM,21,6,7786
101,Pablo Hern?ndez,80,CMCAM,30,4,8080
592,Pablo Larrea,62,CM,23,20,6271
170,Pablo Piatti,78,LMRMLW,28,6,7878
102,Pablo Sarabia,80,RMLMCAM,25,4,8083
503,Pablo Sisniega,66,GK,22,17,6675
199,Pacheco,77,GK,25,7,7783
135,Paco Alc?cer,79,ST,23,5,7985
372,Panagiotis Kone,73,CAMCMCFCDM,30,13,7373
263,Papa Kouli Diop,76,CDMCM,31,9,7676
504,Pape Cheikh Diop,66,CMCDMCAM,20,17,6679
84,Parejo,81,CMCAMCDM,28,3,8181
611,Pedro D?az,61,RM,19,21,6171
171,Pedro Le?n,78,RMLM,30,6,7878
11,Pepe,88,CB,34,1,8888
539,Pervis Estupi??n,64,LB,19,18,6474
531,Philipp Lienhart,65,CB,21,18,6577
326,Pione Sisto,74,RWLW,22,11,7483
16,Piqu?,87,CB,30,1,8787
612,Pol,61,GK,21,21,6167
373,Przemys?aw Tyto?,73,GK,30,13,7373
593,Queijeiro,62,CM,24,20,6269
532,Quim Araujo,65,CAMCF,29,18,6565
621,Quique Cebri?,60,GK,22,21,6069
297,R?ben Vezo,75,CBRB,23,10,7581
85,Ra?l Garc?a,81,CAM,31,3,8181
374,Ra?l Lizoain,73,GK,26,13,7375
264,Ra?l Navas,76,CB,29,9,7677
505,Rafa Mir,66,STCFRM,19,17,6676
417,Rafa Navarro,71,RBRWBLB,23,14,7180
295,Rafael Santos Borr?,75,STCFCAM,21,10,7584
103,Rafinha,80,CMRMRW,24,4,8085
408,Raoul Cedric Lo?,72,CDMCM,28,14,7272
29,Rapha?l Varane,84,CB,24,1,8491
327,Raul Garc?a,74,LB,27,11,7475
200,Recio,77,CDMCM,26,7,7781
429,Rene Krhin,71,CDMCM,27,15,7172
172,Reyes,78,RMLMCAM,33,6,7878
310,Riesgo,75,GK,33,11,7575
354,Riza Durmisi,73,LBLWB,23,12,7380
533,Robert Costa,65,CB,23,18,6575
409,Robert Ib??ez,72,RMLM,24,14,7278
136,Roberto,79,GK,31,5,7979
613,Roberto N??ez,61,ST,21,21,6175
228,Roberto Rosales,77,RB,28,8,7777
104,Roberto Soriano,80,LMCM,26,4,8081
201,Roberto Torres,77,CMRM,28,7,7777
622,Robin Le Normand,60,CBCDM,20,21,6074
202,Rodrigo,77,STRWLW,26,7,7780
446,Rodrigo,70,CDMCM,21,15,7080
355,Rodrigo Ely,73,CB,23,12,7378
594,Roger Riera,62,CBRB,22,20,6274
506,Ronaldo Pe?a,66,STRM,20,17,6680
58,Roque Mesa,82,CDMCM,28,2,8282
296,Rub?n Blanco,75,GK,22,10,7583
86,Rub?n Castro,81,STLW,36,3,8181
387,Rub?n Duarte,72,LB,21,13,7279
204,Rub?n P?rez,77,CDMCM,28,7,7778
203,Rub?n Pardo,77,CMCDM,24,7,7783
356,Rub?n Pe?a,73,STLMRMRB,26,12,7376
614,Rub?n S?nchez,61,ST,22,21,6167
447,Rub?n Sobrino,70,STLM,25,15,7075
491,Rub?n Y??ez,67,GK,23,17,6775
507,Rufo,66,STCF,24,17,6671
410,Rui Silva,72,GK,23,14,7278
375,Ryan Donk,73,CDMCB,31,13,7373
105,Sa?l,80,CMRMCAMLM,22,4,8088
298,Sabin Merino,75,LWRWST,25,10,7578
471,Saborit,69,LBCB,25,16,6974
513,Salva Ru?z,66,LBCB,22,18,6672
411,Salva Sevilla,72,CAMLMCM,33,14,7272
137,Salvatore Sirigu,79,GK,30,5,7979
64,Samir Nasri,82,LMCMRMCAM,30,3,8282
87,Samu Castillejo,81,RMLM,22,3,8188
265,Samu Garc?a,76,RMST,27,9,7676
46,Samuel Umtiti,83,CB,23,2,8388
205,Sandro,77,STLW,22,7,7785
239,Santi Mina,76,RWSTLWRM,21,8,7683
568,Santiago Bueno,63,CBCDM,18,19,6381
554,Sanz,64,CM,24,19,6471
569,Sarriegi,63,CM,22,19,6373
448,Se??,70,RWCAMLW,25,15,7073
266,Serantes,76,GK,27,9,7678
173,Sergi Enrich,78,ST,27,6,7879
206,Sergi G?mez,77,CB,25,7,7784
508,Sergi Palencia,66,RBLB,21,17,6678
106,Sergi Roberto,80,RBCDMCM,25,4,8085
357,Sergi Samper,73,CDMCM,22,12,7380
595,Sergi Segura,62,LB,21,20,6269
229,Sergio,77,GK,31,8,7777
207,Sergio ?lvarez,77,CDMCM,25,7,7782
36,Sergio Asenjo,84,GK,28,2,8485
20,Sergio Busquets,86,CDMCM,29,1,8686
492,Sergio D?az,67,ST,19,17,6781
208,Sergio Le?n,77,ST,28,7,7777
555,Sergio Llamas,64,CMRMLM,24,19,6471
7,Sergio Ramos,89,CB,31,1,8989
88,Sergio Rico,81,GK,23,3,8186
138,Sidnei,79,CB,28,5,7981
120,Simone Zaza,79,ST,26,4,7982
311,Siqueira,75,LBLWBLM,31,11,7575
556,Sito,64,LMLW,20,19,6474
